symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RentAndLandingFees,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
PFC.NS,2023-03-31,3M,INR,,,142400000.0,142400000.0,,,46767100000.0,643800000.0,,,126371300000.0,196172700000.0,-14519200000.0,46767100000.0,46767100000.0,61286300000.0,0.0,46767100000.0,46767100000.0,61286300000.0,69801400000.0,46843374077.21385,4541200000.0,73346900000.0,2795900000.0,,77618200000.0,142100000.0,,,,-96600000.0,-20325922.786151,16331900000.0,0.210413,73346900000.0,-96600000.0,-96600000.0,
PFC.NS,2023-06-30,3M,INR,3300865551.0,13.864,,,3300865551.0,13.864,45763200000.0,209700000.0,,,136695500000.0,208157600000.0,-14058200000.0,45763200000.0,45763200000.0,59821400000.0,0.0,45763200000.0,45763200000.0,59821400000.0,71462100000.0,45860679409.43195,2976700000.0,77779300000.0,1814300000.0,,74010100000.0,,,,,-120600000.0,-23120590.568044,14188700000.0,0.191713,77779300000.0,-120600000.0,-120600000.0,120600000.0
PFC.NS,2023-09-30,3M,INR,3299030717.0,14.65,126800000.0,126800000.0,3299030717.0,14.65,48330800000.0,1980600000.0,,,143131100000.0,220948200000.0,-17950900000.0,48330800000.0,48330800000.0,66281700000.0,0.0,48330800000.0,48330800000.0,66281700000.0,77817100000.0,48330800000.0,3139000000.0,80764100000.0,1854200000.0,,86287900000.0,126800000.0,,,,0.0,0.0,20006200000.0,0.231854,80764100000.0,0.0,0.0,
PFC.NS,2023-09-30,TTM,INR,3300301407.0,54.382,,,3300301407.0,54.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFC.NS,2023-12-31,3M,INR,3298953245.0,14.33,138100000.0,138100000.0,3298953245.0,14.33,47274000000.0,488800000.0,,,148272400000.0,232836300000.0,-15670400000.0,47274000000.0,47274000000.0,62944400000.0,0.0,47274000000.0,47274000000.0,62944400000.0,84563900000.0,47274000000.0,3277000000.0,86080200000.0,1767300000.0,,79613200000.0,137900000.0,,,,0.0,0.0,16668800000.0,0.209372,86080200000.0,0.0,0.0,
PFC.NS,2023-12-31,TTM,INR,3300203892.0,57.012,527900000.0,527900000.0,3300203892.0,57.012,188135100000.0,1652000000.0,454000000.0,7200000.0,554470300000.0,858114800000.0,-62198700000.0,188135100000.0,188135100000.0,250333800000.0,0.0,188135100000.0,188135100000.0,250333800000.0,303644500000.0,188233805164.81308,14015500000.0,317960100000.0,7981800000.0,125200000.0,317529400000.0,527600000.0,128600000.0,347800000.0,801800000.0,-125200000.0,-26494835.186915,67195600000.0,0.21162,317960100000.0,-125200000.0,-125200000.0,
