symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RestructuringAndMergernAcquisition,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
TATACOMM.NS,2023-03-31,3M,INR,,,16396400000.0,6185000000.0,2868500000.0,,,3260300000.0,4775100000.0,10960100000.0,29290200000.0,1321100000.0,1321100000.0,-6100000.0,3260300000.0,3260300000.0,3266400000.0,3260300000.0,3260300000.0,3266400000.0,565500000.0,565500000.0,11079300000.0,3369819745.22293,24669800000.0,4620400000.0,45686600000.0,-2019200000.0,3480700000.0,-60600000.0,0.0,3454000000.0,16396400000.0,6185000000.0,0.0,-402600000.0,-9680254.77707,280500000.0,0.08121,41066200000.0,45686600000.0,-119200000.0,-119200000.0
TATACOMM.NS,2023-06-30,3M,INR,285056012.0,13.39,16733200000.0,5797400000.0,5797400000.0,285056012.0,13.39,3816900000.0,6349000000.0,12146400000.0,30980400000.0,1310300000.0,1310300000.0,-600000.0,3816900000.0,3816900000.0,3817500000.0,3816900000.0,3816900000.0,3817500000.0,-1310300000.0,-1310300000.0,12126700000.0,3802307291.5633,26537400000.0,4443000000.0,47713600000.0,1886300000.0,10305300000.0,-19700000.0,0.0,5038700000.0,16733200000.0,5797400000.0,,19700000.0,5107291.5633,1306300000.0,0.259253,43270600000.0,47713600000.0,19700000.0,19700000.0
TATACOMM.NS,2023-09-30,3M,INR,285090439.0,7.74,18006900000.0,6051200000.0,6051200000.0,285090439.0,7.74,2206600000.0,4356900000.0,10408100000.0,30718100000.0,1374200000.0,1374200000.0,-6000000.0,2206600000.0,2206600000.0,2212600000.0,2206600000.0,2206600000.0,2212600000.0,-1374200000.0,-1374200000.0,10408100000.0,2206600000.0,26614800000.0,4103300000.0,48725000000.0,253600000.0,9840900000.0,,0.0,2982700000.0,18006900000.0,6051200000.0,,0.0,0.0,778800000.0,0.261106,44621700000.0,48725000000.0,0.0,0.0
TATACOMM.NS,2023-09-30,TTM,INR,284981453.0,46.4,,,,284981453.0,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACOMM.NS,2023-12-31,3M,INR,285414013.0,1.57,22791800000.0,6189700000.0,6189700000.0,285414013.0,1.57,448100000.0,3413000000.0,9602700000.0,33540800000.0,1875500000.0,1875500000.0,-2400000.0,448100000.0,448100000.0,450500000.0,448100000.0,448100000.0,450500000.0,-1875500000.0,-1875500000.0,11457900000.0,1746740000.0,28387400000.0,5153400000.0,56332600000.0,114800000.0,10580400000.0,1855200000.0,0.0,1537500000.0,22791800000.0,6189700000.0,,-1855200000.0,-556560000.0,1134700000.0,0.3,51179200000.0,56332600000.0,-1855200000.0,-1855200000.0
TATACOMM.NS,2023-12-31,TTM,INR,284989772.0,34.15,73928300000.0,24223300000.0,20906800000.0,284989772.0,34.15,9731900000.0,18894000000.0,43117300000.0,124529500000.0,5881100000.0,5881100000.0,-15100000.0,9731900000.0,9731900000.0,9747000000.0,9731900000.0,9731900000.0,9747000000.0,-3994500000.0,-3994500000.0,45072000000.0,11160811251.143097,106209400000.0,18320100000.0,198457800000.0,235500000.0,34207300000.0,1774900000.0,0.0,13012900000.0,73928300000.0,24223300000.0,,-2238100000.0,-525788748.856904,3500300000.0,0.268987,180137700000.0,198457800000.0,-1954700000.0,-1954700000.0
