symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue
NYKAA.NS,2023-03-31,3M,INR,,,8219000000.0,530420000.0,357610000.0,,,24110000.0,248060000.0,778480000.0,4798240000.0,161770000.0,161770000.0,1360000.0,24110000.0,24110000.0,22750000.0,24110000.0,24110000.0,22750000.0,20860000.0,20860000.0,778480000.0,24110000.0,4611600000.0,186640000.0,13017240000.0,-152100000.0,-7622840000.0,0.0,86290000.0,8219000000.0,530420000.0,0.0,43540000.0,0.3,12830600000.0,13017240000.0
NYKAA.NS,2023-06-30,3M,INR,2852845606.0,0.02,8031990000.0,519200000.0,519200000.0,2852845606.0,0.02,33030000.0,282670000.0,801870000.0,6186250000.0,185480000.0,185480000.0,-21220000.0,33030000.0,33030000.0,54250000.0,33030000.0,33030000.0,54250000.0,-185480000.0,-185480000.0,801870000.0,33030000.0,5970790000.0,215460000.0,14218240000.0,67210000.0,4065830000.0,0.0,97190000.0,8031990000.0,519200000.0,0.0,32630000.0,0.335734,14002780000.0,14218240000.0
NYKAA.NS,2023-09-30,3M,INR,2923000000.0,0.02,8574000000.0,546360000.0,546360000.0,2923000000.0,0.02,58460000.0,345660000.0,892020000.0,6496240000.0,213090000.0,213090000.0,-19540000.0,58460000.0,58460000.0,78000000.0,58460000.0,58460000.0,78000000.0,-213090000.0,-213090000.0,892020000.0,58460000.0,6236310000.0,259930000.0,15070240000.0,85730000.0,4326750000.0,0.0,132570000.0,8574000000.0,546360000.0,0.0,39680000.0,0.299314,14810310000.0,15070240000.0
NYKAA.NS,2023-09-30,TTM,INR,2929323057.0,0.07,,,,2943097882.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYKAA.NS,2023-12-31,3M,INR,2697666667.0,0.06,10280500000.0,580280000.0,580280000.0,2697666667.0,0.06,161860000.0,483300000.0,1063580000.0,7607480000.0,218410000.0,218410000.0,-12680000.0,161860000.0,161860000.0,174540000.0,161860000.0,161860000.0,174540000.0,-218410000.0,-218410000.0,1063580000.0,161860000.0,7200020000.0,407460000.0,17887980000.0,75840000.0,5140440000.0,0.0,264890000.0,10280500000.0,580280000.0,0.0,82550000.0,0.311639,17480520000.0,17887980000.0
NYKAA.NS,2023-12-31,TTM,INR,2852364724.0,0.1,35105480000.0,2176260000.0,2003450000.0,2866139549.0,0.1,277460000.0,1359700000.0,3535960000.0,25088220000.0,778750000.0,778750000.0,-52080000.0,277460000.0,277460000.0,329540000.0,277460000.0,277460000.0,329540000.0,-596120000.0,-596120000.0,3535960000.0,277460000.0,24018730000.0,1069490000.0,60193700000.0,76690000.0,5910190000.0,0.0,580950000.0,35105480000.0,2176260000.0,0.0,198400000.0,0.34151,59124210000.0,60193700000.0
