symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,InsuranceAndClaims,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,OtherSpecialCharges,PretaxIncome,ReconciledDepreciation,RentAndLandingFees,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
BAJFINANCE.NS,2020-03-31,TTM,INR,,,,,,,,,2870100000.0,31500000.0,,,,,,,,,,,,,,22900000.0,,,433100000.0,3182300000.0,6052400000.0,-169600000.0,,,,,-169600000.0,-169600000.0,146700000.0
BAJFINANCE.NS,2023-03-31,3M,INR,604361722.0,52.25,1341100000.0,1341100000.0,607150548.0,52.01,31577900000.0,851100000.0,,,35919600000.0,98469000000.0,31577900000.0,31577900000.0,31577900000.0,31577900000.0,31577900000.0,31577900000.0,62549400000.0,31577900000.0,21663300000.0,72852800000.0,6911400000.0,,42611300000.0,1341100000.0,,,,,0.0,11033400000.0,0.258931,72852800000.0,,,
BAJFINANCE.NS,2023-06-30,3M,INR,604766848.0,56.83,1560900000.0,1560900000.0,607224382.0,56.6,34368900000.0,903600000.0,,,41025200000.0,108210700000.0,34368900000.0,34368900000.0,34368900000.0,34368900000.0,34368900000.0,34368900000.0,67185500000.0,34368900000.0,23860200000.0,79296700000.0,7329100000.0,,45512100000.0,1560900000.0,,,,,0.0,11143200000.0,0.24484,79296700000.0,,,
BAJFINANCE.NS,2023-09-30,3M,INR,605215613.0,58.67,1585200000.0,1585200000.0,607493584.0,58.45,35508000000.0,711200000.0,,,45370600000.0,117340300000.0,35508000000.0,35508000000.0,35508000000.0,35508000000.0,35508000000.0,35508000000.0,71969700000.0,35508000000.0,25370500000.0,83717300000.0,7910100000.0,,47577600000.0,1585200000.0,,,,,0.0,12069600000.0,0.253682,83717300000.0,,,
BAJFINANCE.NS,2023-09-30,TTM,INR,604638518.0,216.96,,,607280652.0,216.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE.NS,2023-12-31,3M,INR,612411646.0,59.42,1757500000.0,1757500000.0,614687500.0,59.2,36389500000.0,683900000.0,,,48680200000.0,125233200000.0,36389500000.0,36389500000.0,36389500000.0,36389500000.0,36389500000.0,36389500000.0,76553000000.0,36389500000.0,26851700000.0,88273900000.0,8476700000.0,,48955200000.0,1757500000.0,,,,,0.0,12565700000.0,0.256678,88273900000.0,,,
BAJFINANCE.NS,2023-12-31,TTM,INR,606706396.0,227.18,6244700000.0,6244700000.0,609161407.0,226.26,137844300000.0,3097200000.0,,,170995600000.0,449244200000.0,137844300000.0,137844300000.0,137844300000.0,137844300000.0,137844300000.0,137844300000.0,278248600000.0,138310558645.95935,97552500000.0,324080800000.0,23971300000.0,,184656200000.0,6244700000.0,,,,,-158341354.040644,46811900000.0,0.253508,324080800000.0,-624600000.0,-624600000.0,
