symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
BERGEPAINT.NS,2023-03-31,3M,INR,,,14847900000.0,744100000.0,689200000.0,,,1850300000.0,2872300000.0,3616400000.0,8063800000.0,293000000.0,293000000.0,-3200000.0,1850300000.0,1850300000.0,1860100000.0,1850300000.0,1850300000.0,1860100000.0,-134300000.0,-134300000.0,3616400000.0,1850300000.0,4665300000.0,3398500000.0,22911700000.0,-118600000.0,-6601700000.0,0.0,2579300000.0,14847900000.0,744100000.0,0.0,719200000.0,0.278835,19513200000.0,22911700000.0,,
BERGEPAINT.NS,2023-06-30,3M,INR,1164986301.0,3.041667,18230900000.0,782100000.0,782100000.0,1164986301.0,3.041667,3543500000.0,4958900000.0,5741000000.0,12064200000.0,197100000.0,197100000.0,-5600000.0,3543500000.0,3543500000.0,3549100000.0,3543500000.0,3543500000.0,3549100000.0,-197100000.0,-197100000.0,5741000000.0,3543500000.0,7278800000.0,4785400000.0,30295100000.0,135800000.0,4827700000.0,0.0,4761800000.0,18230900000.0,782100000.0,0.0,1212700000.0,0.254673,25509700000.0,30295100000.0,,
BERGEPAINT.NS,2023-09-30,3M,INR,1166560000.0,2.5,16294100000.0,828700000.0,828700000.0,1166560000.0,2.5,2916400000.0,4098900000.0,4927600000.0,11378900000.0,210800000.0,210800000.0,-4900000.0,2916400000.0,2916400000.0,2921300000.0,2916400000.0,2916400000.0,2921300000.0,-210800000.0,-210800000.0,4927600000.0,2916400000.0,7471100000.0,3907800000.0,27673000000.0,152800000.0,4740000000.0,0.0,3888100000.0,16294100000.0,828700000.0,0.0,966800000.0,0.248656,23765200000.0,27673000000.0,,
BERGEPAINT.NS,2023-09-30,TTM,INR,1166405149.0,8.863333,,,,1166536897.0,8.863333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEPAINT.NS,2023-12-31,3M,INR,1165953307.0,2.57,16980900000.0,829100000.0,829100000.0,1165953307.0,2.57,2996500000.0,4174700000.0,5003800000.0,11837400000.0,196200000.0,196200000.0,-5100000.0,2996500000.0,2996500000.0,3001600000.0,2996500000.0,2996500000.0,3001600000.0,-196200000.0,-196200000.0,5003800000.0,2996500000.0,7866100000.0,3971300000.0,28818300000.0,189400000.0,5222000000.0,0.0,3978500000.0,16980900000.0,829100000.0,0.0,976900000.0,0.245545,24847000000.0,28818300000.0,,
BERGEPAINT.NS,2023-12-31,TTM,INR,1165931197.0,9.713333,66353800000.0,3184000000.0,3129100000.0,1166062945.0,9.713333,11313300000.0,16104800000.0,19288800000.0,43344300000.0,897100000.0,897100000.0,-18800000.0,11313300000.0,11313300000.0,11332100000.0,11313300000.0,11313300000.0,11332100000.0,-738400000.0,-738400000.0,19442800000.0,11428053933.862452,27281300000.0,16063000000.0,109698100000.0,359400000.0,8188000000.0,0.0,15207700000.0,66353800000.0,3184000000.0,-39246066.137549,3875600000.0,0.254845,93635100000.0,109698100000.0,-154000000.0,-154000000.0
