symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
BHARTIARTL.NS,2023-03-31,3M,INR,,,154713000000.0,94059000000.0,15054000000.0,,,30056000000.0,51727000000.0,145786000000.0,205377000000.0,1587000000.0,1587000000.0,-12204000000.0,30056000000.0,30056000000.0,42260000000.0,30056000000.0,30056000000.0,42260000000.0,-24063000000.0,-24063000000.0,147727000000.0,31691952532.90786,108896000000.0,96481000000.0,360090000000.0,-4872000000.0,-19719000000.0,0.0,50140000000.0,154713000000.0,94059000000.0,19844000000.0,24089000000.0,-1402000000.0,-305047467.092142,7880000000.0,0.15716,263609000000.0,360090000000.0,-1941000000.0,-1941000000.0
BHARTIARTL.NS,2023-06-30,3M,INR,5677816901.0,2.84,123411000000.0,96538000000.0,96538000000.0,5779569892.0,2.79,16125000000.0,74666000000.0,171204000000.0,250989000000.0,56137000000.0,56137000000.0,923000000.0,16125000000.0,16125000000.0,15202000000.0,16125000000.0,16125000000.0,15202000000.0,-56137000000.0,-56137000000.0,205367000000.0,44153815694.31702,151542000000.0,99447000000.0,374400000000.0,3483000000.0,21836000000.0,0.0,18529000000.0,123411000000.0,96538000000.0,20596000000.0,20596000000.0,-34163000000.0,-6134184305.682983,3327000000.0,0.179556,274953000000.0,374400000000.0,-34163000000.0,-34163000000.0
BHARTIARTL.NS,2023-09-30,3M,INR,5680932203.0,2.36,122027000000.0,97343000000.0,97343000000.0,5803896104.0,2.31,13407000000.0,91255000000.0,188598000000.0,248411000000.0,51858000000.0,51858000000.0,-7525000000.0,13407000000.0,13407000000.0,20932000000.0,13407000000.0,13407000000.0,20932000000.0,-51858000000.0,-51858000000.0,204301000000.0,24399100000.0,150617000000.0,97794000000.0,370438000000.0,3304000000.0,19894000000.0,0.0,39397000000.0,122027000000.0,805000000.0,19590000000.0,19590000000.0,-15703000000.0,-4710900000.0,18465000000.0,0.3,272644000000.0,370438000000.0,-15703000000.0,-15703000000.0
BHARTIARTL.NS,2023-09-30,TTM,INR,5671880301.0,13.32,,,,5776939764.0,13.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL.NS,2023-12-31,3M,INR,5719437939.0,4.27,124699000000.0,100743000000.0,100743000000.0,5899033816.0,4.14,24422000000.0,107533000000.0,208277000000.0,254296000000.0,66449000000.0,66449000000.0,-4342000000.0,24422000000.0,24422000000.0,28764000000.0,24422000000.0,24422000000.0,28764000000.0,-66449000000.0,-66449000000.0,209579000000.0,25333564794.08042,156891000000.0,97405000000.0,378995000000.0,4398000000.0,22445000000.0,0.0,41084000000.0,124699000000.0,100744000000.0,20473000000.0,20473000000.0,-1302000000.0,-390435205.919579,12320000000.0,0.299873,281590000000.0,378995000000.0,-1302000000.0,-1302000000.0
BHARTIARTL.NS,2023-12-31,TTM,INR,5684314772.0,14.8,524850000000.0,388683000000.0,309678000000.0,5800716001.0,14.51,84010000000.0,325181000000.0,713864000000.0,959073000000.0,176031000000.0,176031000000.0,-23148000000.0,84010000000.0,84010000000.0,107158000000.0,84010000000.0,84010000000.0,107158000000.0,-198507000000.0,-198507000000.0,766973000000.0,122166582111.96782,567946000000.0,391127000000.0,1483923000000.0,6313000000.0,44456000000.0,0.0,149150000000.0,524850000000.0,388683000000.0,80503000000.0,84748000000.0,-52570000000.0,-14952417888.032183,41992000000.0,0.281542,1092796000000.0,1483923000000.0,-53109000000.0,-53109000000.0
