symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
DEEPAKNTR.NS,2023-03-31,3M,INR,,,14465800000.0,409200000.0,357000000.0,,,2338600000.0,3196100000.0,3605300000.0,4672900000.0,44600000.0,44600000.0,2338600000.0,2338600000.0,2338600000.0,2338600000.0,2338600000.0,2338600000.0,-31500000.0,-31500000.0,3394200000.0,2181951273.99651,1532300000.0,3140600000.0,19138700000.0,-188100000.0,-371700000.0,0.0,3151500000.0,14465800000.0,409200000.0,-11500000.0,54451273.99651,812900000.0,0.257941,15998100000.0,19138700000.0,211100000.0,211100000.0
DEEPAKNTR.NS,2023-06-30,3M,INR,136396724.0,10.99,13409300000.0,380800000.0,380800000.0,136396724.0,10.99,1499000000.0,2035400000.0,2416200000.0,4274100000.0,18100000.0,18100000.0,1499000000.0,1499000000.0,1499000000.0,1499000000.0,1499000000.0,1499000000.0,-18100000.0,-18100000.0,2416200000.0,1499000000.0,2557400000.0,1716700000.0,17683400000.0,318700000.0,1334300000.0,0.0,2017300000.0,13409300000.0,380800000.0,0.0,0.0,518300000.0,0.256928,15966700000.0,17683400000.0,0.0,0.0
DEEPAKNTR.NS,2023-09-30,3M,INR,136356383.0,15.04,11658100000.0,394300000.0,394300000.0,136356383.0,15.04,2050800000.0,2798800000.0,3193100000.0,6122400000.0,26800000.0,26800000.0,2050800000.0,2050800000.0,2050800000.0,2050800000.0,2050800000.0,2050800000.0,-26800000.0,-26800000.0,3193100000.0,2050800000.0,3494100000.0,2628300000.0,17780500000.0,170400000.0,2251700000.0,0.0,2772000000.0,11658100000.0,394300000.0,0.0,0.0,721200000.0,0.260173,15152200000.0,17780500000.0,0.0,0.0
DEEPAKNTR.NS,2023-09-30,TTM,INR,136382306.0,58.5,,,,136382306.0,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEEPAKNTR.NS,2023-12-31,3M,INR,136428089.0,14.81,14814500000.0,416900000.0,416900000.0,136428089.0,14.81,2020500000.0,2765200000.0,3182100000.0,5191900000.0,29300000.0,29300000.0,2020500000.0,2020500000.0,2020500000.0,2020500000.0,2020500000.0,2020500000.0,-29300000.0,-29300000.0,3182100000.0,2020500000.0,2562300000.0,2629600000.0,20006400000.0,135500000.0,1339900000.0,0.0,2735900000.0,14814500000.0,416900000.0,0.0,0.0,715400000.0,0.261486,17376800000.0,20006400000.0,0.0,0.0
DEEPAKNTR.NS,2023-12-31,TTM,INR,136400872.0,57.98,55529000000.0,1601200000.0,1549000000.0,136400872.0,57.98,7909000000.0,10795600000.0,12396800000.0,19012200000.0,118800000.0,118800000.0,7909000000.0,7909000000.0,7909000000.0,7909000000.0,7909000000.0,7909000000.0,-105700000.0,-105700000.0,12185700000.0,7752624503.596583,8842000000.0,10170200000.0,74541200000.0,381600000.0,3317900000.0,0.0,10676800000.0,55529000000.0,1601200000.0,-11500000.0,54724503.596583,2767800000.0,0.259235,64371000000.0,74541200000.0,211100000.0,211100000.0
