symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
OBEROIRLTY.NS,2023-03-31,3M,INR,,,5174678000.0,97412000.0,89190000.0,,,4802871000.0,4527357000.0,4624769000.0,4439540000.0,620549000.0,620549000.0,4802871000.0,4802871000.0,4802871000.0,4802871000.0,4802871000.0,4802871000.0,-30757000.0,-30757000.0,4282456000.0,4563251900.0,849781000.0,3589759000.0,9614218000.0,-595360000.0,140588000.0,0.0,3906808000.0,5174678000.0,97412000.0,-73000.0,102693900.0,-896063000.0,0.3,6024459000.0,9614218000.0,342313000.0,342313000.0
OBEROIRLTY.NS,2023-09-30,3M,INR,363662420.0,12.56,4984400000.0,113100000.0,113100000.0,363662420.0,12.56,4567600000.0,6553800000.0,6666900000.0,7189700000.0,564900000.0,564900000.0,4567600000.0,4567600000.0,4567600000.0,4567600000.0,4567600000.0,4567600000.0,-564900000.0,-564900000.0,6666900000.0,4567600000.0,920700000.0,6269000000.0,12174100000.0,263900000.0,575700000.0,0.0,5988900000.0,4984400000.0,113100000.0,0.0,0.0,1421300000.0,0.237322,5905100000.0,12174100000.0,0.0,0.0
OBEROIRLTY.NS,2023-09-30,TTM,INR,363602708.0,53.94,,,,363602708.0,53.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBEROIRLTY.NS,2023-12-31,3M,INR,363420787.0,9.91,4737600000.0,113700000.0,113700000.0,363420787.0,9.91,3601500000.0,5293900000.0,5407600000.0,5798800000.0,500600000.0,500600000.0,3601500000.0,3601500000.0,3601500000.0,3601500000.0,3601500000.0,3601500000.0,-500600000.0,-500600000.0,5407600000.0,3601500000.0,818900000.0,4979900000.0,10536400000.0,292100000.0,430100000.0,0.0,4793300000.0,4737600000.0,113700000.0,0.0,0.0,1191800000.0,0.248639,5556500000.0,10536400000.0,0.0,0.0
OBEROIRLTY.NS,2023-12-31,TTM,INR,363630356.0,44.52,18694078000.0,437212000.0,428990000.0,363630356.0,44.52,16188671000.0,21252757000.0,21689969000.0,22730340000.0,2301349000.0,2301349000.0,16188671000.0,16188671000.0,16188671000.0,16188671000.0,16188671000.0,16188671000.0,-1711557000.0,-1711557000.0,21347656000.0,15896260402.538164,3267381000.0,19462959000.0,41424418000.0,196540000.0,1473488000.0,0.0,18951408000.0,18694078000.0,437212000.0,-73000.0,49902402.538165,2762737000.0,0.14578,21961459000.0,41424418000.0,342313000.0,342313000.0
