symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherSpecialCharges,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,RestructuringAndMergernAcquisition,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
TATATECH.NS,2023-03-31,3M,INR,48840000.0,,,8496390000.0,250220000.0,201380000.0,,,2165700000.0,2648750000.0,2898970000.0,1874080000.0,5514650000.0,45280000.0,45280000.0,186880000.0,186880000.0,2165700000.0,2165700000.0,2165700000.0,2165700000.0,2165700000.0,2165700000.0,141600000.0,141600000.0,2622270000.0,1935526735.088171,3338410000.0,2176240000.0,14011040000.0,37790000.0,908630000.0,-279660000.0,0.0,2603470000.0,8496390000.0,250220000.0,3790000.0,3790000.0,0.0,1874080000.0,279660000.0,46526735.088171,437770000.0,0.168149,11834800000.0,14011040000.0,276700000.0,276700000.0,0.0
TATATECH.NS,2023-09-30,TTM,INR,,405668530.0,17.671496,,,,405668530.0,17.671496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATATECH.NS,2023-12-31,3M,INR,,405285714.0,4.2,8428700000.0,271700000.0,271700000.0,406252983.0,4.19,1702200000.0,2400800000.0,2672500000.0,1144400000.0,4465800000.0,50800000.0,50800000.0,,,1702200000.0,1702200000.0,1702200000.0,1702200000.0,1702200000.0,1702200000.0,-50800000.0,-50800000.0,2672500000.0,1702200000.0,2371900000.0,2093900000.0,12894500000.0,306900000.0,955800000.0,,0.0,2350000000.0,8428700000.0,271700000.0,,,,1144400000.0,,0.0,647800000.0,0.27566,10800600000.0,12894500000.0,,,
TATATECH.NS,2023-12-31,TTM,INR,,405668530.0,18.209374,31929820000.0,1019340000.0,834500000.0,405668530.0,18.209374,7386970000.0,9806820000.0,10826160000.0,6365350000.0,20239650000.0,190810000.0,190810000.0,,,7386970000.0,7386970000.0,7386970000.0,7386970000.0,7386970000.0,7386970000.0,223960000.0,223960000.0,10608650000.0,7219879923.689763,11706620000.0,8533030000.0,52169470000.0,582110000.0,3167150000.0,,0.0,9616010000.0,31929820000.0,1019340000.0,,,,6365350000.0,,50419923.689763,2229040000.0,0.231805,43636440000.0,52169470000.0,217510000.0,217510000.0,
