symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill,WriteOff
HAL.NS,2023-03-31,3M,INR,,,45290200000.0,10556100000.0,10556100000.0,,,28311800000.0,28989600000.0,39545700000.0,79656500000.0,553000000.0,553000000.0,-100000.0,28311800000.0,28311800000.0,28311900000.0,28311800000.0,28311800000.0,28311900000.0,-553000000.0,-553000000.0,45297300000.0,34038178119.747086,52003100000.0,27653400000.0,124946700000.0,7222300000.0,25296600000.0,0.0,28436600000.0,45290200000.0,10556100000.0,-5751600000.0,-25221880.252913,124700000.0,0.004385,97293300000.0,124946700000.0,-5751600000.0,-5751600000.0,5751600000.0
HAL.NS,2023-06-30,3M,INR,668780287.0,12.175,9220600000.0,2013800000.0,2013800000.0,668780287.0,12.175,8142400000.0,10890500000.0,12904300000.0,29932900000.0,200000.0,200000.0,1500000.0,8142400000.0,8142400000.0,8140900000.0,8142400000.0,8142400000.0,8140900000.0,-200000.0,-200000.0,12933400000.0,8164153320.845156,23149300000.0,6783600000.0,39153500000.0,4099400000.0,7098600000.0,0.0,10890300000.0,9220600000.0,2013800000.0,-29100000.0,-7346679.154844,2749400000.0,0.252463,32369900000.0,39153500000.0,-29100000.0,-29100000.0,29100000.0
HAL.NS,2023-09-30,3M,INR,668848026.0,18.49,21281300000.0,3496500000.0,3496500000.0,668848026.0,18.49,12367000000.0,16517400000.0,20013900000.0,35075700000.0,3200000.0,3200000.0,300000.0,12367000000.0,12367000000.0,12366700000.0,12367000000.0,12367000000.0,12366700000.0,-3200000.0,-3200000.0,20084300000.0,12419719216.189703,23225400000.0,11850300000.0,56357000000.0,4693700000.0,7769800000.0,0.0,16514200000.0,21281300000.0,3496500000.0,-70400000.0,-17680783.810297,4147500000.0,0.251147,44506700000.0,56357000000.0,-70400000.0,-70400000.0,70400000.0
HAL.NS,2023-09-30,TTM,INR,668814364.0,90.27,,,,668814364.0,90.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAL.NS,2023-12-31,3M,INR,668822906.0,18.86,27021500000.0,2121700000.0,2121700000.0,668822906.0,18.86,12614000000.0,16897900000.0,19019600000.0,33591300000.0,3600000.0,3600000.0,-1100000.0,12614000000.0,12614000000.0,12615100000.0,12614000000.0,12614000000.0,12615100000.0,-3600000.0,-3600000.0,19020400000.0,12614597365.975508,21358900000.0,12232400000.0,60612800000.0,4599800000.0,6232500000.0,0.0,16894300000.0,27021500000.0,2121700000.0,-800000.0,-202634.024493,4279200000.0,0.253293,48380400000.0,60612800000.0,-800000.0,-800000.0,800000.0
HAL.NS,2023-12-31,TTM,INR,668800396.0,91.86,102813600000.0,18188100000.0,18188100000.0,668800396.0,91.86,61435200000.0,73295400000.0,91483500000.0,178256400000.0,560000000.0,560000000.0,600000.0,61435200000.0,61435200000.0,61434600000.0,61435200000.0,61435200000.0,61434600000.0,-560000000.0,-560000000.0,97335400000.0,66377898269.89334,119736700000.0,58519700000.0,281070000000.0,20615200000.0,46397500000.0,0.0,72735400000.0,102813600000.0,18188100000.0,-5851900000.0,-909201730.106661,11300800000.0,0.155369,222550300000.0,281070000000.0,-5851900000.0,-5851900000.0,5851900000.0
