symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ADANIPOWER.NS,2019-12-31,TTM,INR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6574400000.0,,,,,-11507500000.0,,,,,,-11507500000.0,-11507500000.0
ADANIPOWER.NS,2023-03-31,3M,INR,,,87336800000.0,8169500000.0,8169500000.0,,,39908300000.0,13503800000.0,21673300000.0,15083800000.0,4526600000.0,4526600000.0,,52424800000.0,39908300000.0,52424800000.0,52424800000.0,52424800000.0,52424800000.0,29752600000.0,29752600000.0,21673300000.0,52424800000.0,-820000000.0,15903800000.0,102420600000.0,-33919200000.0,-9919300000.0,12516500000.0,8977200000.0,87336800000.0,8169500000.0,,0.0,-43447600000.0,0.3,86516800000.0,102420600000.0,,
ADANIPOWER.NS,2023-06-30,3M,INR,3999735160.0,21.9,69119600000.0,9345900000.0,9345900000.0,3999735160.0,21.9,87594200000.0,96831100000.0,106177000000.0,40935800000.0,8834900000.0,8834900000.0,0.0,87594200000.0,87594200000.0,87594200000.0,87594200000.0,87594200000.0,87594200000.0,-8834900000.0,-8834900000.0,106177000000.0,87594200000.0,15139400000.0,25796400000.0,110055400000.0,71034700000.0,4285700000.0,0.0,87996200000.0,69119600000.0,9345900000.0,,0.0,402000000.0,0.004568,84259000000.0,110055400000.0,,
ADANIPOWER.NS,2023-09-30,3M,INR,4001316748.0,16.48,70415100000.0,10044800000.0,10044800000.0,4001316748.0,16.48,65941700000.0,61120100000.0,71164900000.0,59490700000.0,8884400000.0,8884400000.0,,65941700000.0,65941700000.0,65941700000.0,65941700000.0,65941700000.0,65941700000.0,-8884400000.0,-8884400000.0,71164900000.0,65941700000.0,17821600000.0,41669100000.0,129905800000.0,19451000000.0,6252100000.0,0.0,52235700000.0,70415100000.0,10044800000.0,,0.0,-13706000000.0,0.3,88236700000.0,129905800000.0,,
ADANIPOWER.NS,2023-09-30,TTM,INR,3679186653.0,50.38,283603900000.0,35936700000.0,35936700000.0,3679186653.0,50.38,193531900000.0,183033800000.0,218970500000.0,136422000000.0,31705700000.0,31705700000.0,,206048400000.0,193531900000.0,206048400000.0,206048400000.0,206048400000.0,206048400000.0,2573500000.0,2573500000.0,218153800000.0,205476710000.0,46731900000.0,89690100000.0,420025900000.0,61824500000.0,5412900000.0,12516500000.0,151328100000.0,283603900000.0,35936700000.0,,245010000.0,-54720300000.0,0.3,330335800000.0,420025900000.0,816700000.0,816700000.0
