symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,PretaxIncome,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
AUBANK.NS,2023-03-31,3M,INR,666612559.0,6.37,669766877.0,6.34,4246322000.0,10616486000.0,22748519000.0,4246322000.0,4246322000.0,4246322000.0,,4246322000.0,4246322000.0,4246322000.0,12132033000.0,4246322000.0,9753485000.0,15462637000.0,4928325000.0,5300386000.0,0.0,0.0,1054064000.0,0.198866,15462637000.0,0.0,0.0
AUBANK.NS,2023-06-30,3M,INR,667062586.0,5.8,670530849.0,5.77,3868963000.0,12121254000.0,24583384000.0,3868963000.0,3868963000.0,3868963000.0,0.0,3868963000.0,3868963000.0,3868963000.0,12462130000.0,3868963000.0,10152920000.0,15613323000.0,5082493000.0,5130603000.0,0.0,0.0,1261640000.0,0.245905,15613323000.0,0.0,0.0
AUBANK.NS,2023-09-30,3M,INR,667499834.0,6.02,671964716.0,5.98,4018349000.0,12820884000.0,25310549000.0,4018349000.0,4018349000.0,4018349000.0,0.0,4018349000.0,4018349000.0,4018349000.0,12489665000.0,4018349000.0,10267345000.0,16744297000.0,5147192000.0,5333802000.0,0.0,0.0,1315453000.0,0.246626,16744297000.0,0.0,0.0
AUBANK.NS,2023-09-30,TTM,INR,666867677.0,24.14,670509989.0,24.01,,,,,,,,,,,,,,,,,,,,,,,
AUBANK.NS,2023-12-31,3M,INR,668891087.0,5.61,672487276.0,5.58,3752479000.0,14109463000.0,27358203000.0,3752479000.0,3752479000.0,3752479000.0,0.0,3752479000.0,3752479000.0,3752479000.0,13248740000.0,3752479000.0,11174803000.0,17745650000.0,5887314000.0,4981478000.0,0.0,0.0,1228999000.0,0.246714,17745650000.0,0.0,0.0
AUBANK.NS,2023-12-31,TTM,INR,667306292.0,23.83,671370961.0,23.69,15886111000.0,49668087000.0,100000654000.0,15886111000.0,15886111000.0,15886120000.0,,15886111000.0,15886111000.0,15886111000.0,50332567000.0,15891188558.503874,40462654000.0,65572536000.0,10410512000.0,20746361000.0,-6631000.0,-1553441.496126,4860241000.0,0.23427,65572536000.0,-6631000.0,-6631000.0
