symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,PretaxIncome,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
YESBANK.NS,2019-09-30,TTM,INR,,,,,,,,,,,,,,,,,,,,,3269114000.0,,,,,,,
YESBANK.NS,2023-03-31,3M,INR,,,,,2062186000.0,41171202000.0,62184519000.0,2062186000.0,2062186000.0,2062186000.0,,2062186000.0,2062186000.0,2062186000.0,21013317000.0,2013501000.0,23197823000.0,8187492000.0,2062050000.0,296186000.0,,69550000.0,20865000.0,689100000.0,0.3,8187492000.0,69550000.0,69550000.0
YESBANK.NS,2023-06-30,3M,INR,28890000000.0,0.12,28890000000.0,0.12,3466800000.0,44492800000.0,64453600000.0,3466800000.0,3466800000.0,3466800000.0,0.0,3466800000.0,3466800000.0,3466800000.0,19960800000.0,3466800000.0,23653400000.0,31879400000.0,13922900000.0,4622700000.0,,0.0,0.0,1155900000.0,0.250049,31879400000.0,0.0,0.0
YESBANK.NS,2023-09-30,3M,INR,28151250000.0,0.08,28151250000.0,0.08,2252100000.0,47856100000.0,67107000000.0,2252100000.0,2252100000.0,2252100000.0,0.0,2252100000.0,2252100000.0,2252100000.0,19250900000.0,2252100000.0,23337400000.0,31350700000.0,14420000000.0,3009500000.0,,0.0,0.0,757400000.0,0.25167,31350700000.0,0.0,0.0
YESBANK.NS,2023-09-30,TTM,INR,27479635052.0,0.3,27565193243.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
YESBANK.NS,2023-12-31,3M,INR,30323750000.0,0.08,30323750000.0,0.08,2425900000.0,49750600000.0,69887300000.0,2425900000.0,2425900000.0,2425900000.0,0.0,2425900000.0,2425900000.0,2425900000.0,20136700000.0,2425900000.0,23922200000.0,32684000000.0,14540100000.0,3204400000.0,,0.0,0.0,778500000.0,0.242947,32684000000.0,0.0,0.0
YESBANK.NS,2023-12-31,TTM,INR,29154014020.0,0.35,29239572211.0,0.35,10241286000.0,183350702000.0,263665019000.0,10241286000.0,10241286000.0,10241286000.0,,10241286000.0,10241286000.0,10241286000.0,80314317000.0,10192792665.543724,96175923000.0,106252892000.0,46732350000.0,11167086000.0,,69550000.0,21056665.543724,3380900000.0,0.302756,106252892000.0,69550000.0,69550000.0
