symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
TATACHEM.NS,2023-03-31,3M,INR,,,13780000000.0,2340000000.0,1250000000.0,,,7090000000.0,7380000000.0,9720000000.0,29200000000.0,520000000.0,520000000.0,170000000.0,7090000000.0,7090000000.0,6940000000.0,-20000000.0,7090000000.0,7110000000.0,6920000000.0,-580000000.0,-580000000.0,9370000000.0,6865000000.0,21280000000.0,7920000000.0,42980000000.0,-1070000000.0,3540000000.0,0.0,6860000000.0,13780000000.0,2340000000.0,10450000000.0,11360000000.0,-220000000.0,105000000.0,-80000000.0,0.3,35060000000.0,42980000000.0,350000000.0,350000000.0
TATACHEM.NS,2023-06-30,3M,INR,254789272.0,20.88,13910000000.0,2290000000.0,2290000000.0,254789272.0,20.88,5320000000.0,8720000000.0,11010000000.0,28270000000.0,1230000000.0,1230000000.0,-550000000.0,5320000000.0,5320000000.0,5780000000.0,90000000.0,5320000000.0,5230000000.0,5870000000.0,-1230000000.0,-1230000000.0,11010000000.0,5230000000.0,20130000000.0,8140000000.0,42180000000.0,490000000.0,7970000000.0,0.0,7490000000.0,13910000000.0,2290000000.0,5290000000.0,5290000000.0,,0.0,1710000000.0,0.228304,34040000000.0,42180000000.0,,
TATACHEM.NS,2023-09-30,3M,INR,254761905.0,16.8,8190000000.0,2340000000.0,2340000000.0,254761905.0,16.8,4280000000.0,7600000000.0,9940000000.0,31790000000.0,1450000000.0,1450000000.0,-670000000.0,4280000000.0,4280000000.0,4950000000.0,0.0,4280000000.0,4280000000.0,4950000000.0,-1450000000.0,-1450000000.0,8920000000.0,3459024390.243902,25940000000.0,5850000000.0,39980000000.0,850000000.0,13830000000.0,0.0,6150000000.0,8190000000.0,2340000000.0,5230000000.0,5230000000.0,1020000000.0,199024390.243902,1200000000.0,0.195122,34130000000.0,39980000000.0,1020000000.0,1020000000.0
TATACHEM.NS,2023-09-30,TTM,INR,254763611.0,80.86,,,,254763611.0,80.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACHEM.NS,2023-12-31,3M,INR,254838710.0,6.2,6970000000.0,2460000000.0,2460000000.0,254838710.0,6.2,1580000000.0,3940000000.0,6400000000.0,30330000000.0,1320000000.0,1320000000.0,-360000000.0,1580000000.0,1580000000.0,1940000000.0,0.0,1580000000.0,1580000000.0,1940000000.0,-1320000000.0,-1320000000.0,6400000000.0,1580000000.0,27370000000.0,2960000000.0,37300000000.0,380000000.0,14660000000.0,0.0,2620000000.0,6970000000.0,2460000000.0,5560000000.0,5560000000.0,0.0,0.0,680000000.0,0.259542,34340000000.0,37300000000.0,0.0,0.0
TATACHEM.NS,2023-12-31,TTM,INR,254780974.0,71.71,36020000000.0,9430000000.0,8340000000.0,254780974.0,71.71,18270000000.0,27640000000.0,37070000000.0,126420000000.0,4520000000.0,4520000000.0,-1410000000.0,18270000000.0,18270000000.0,19610000000.0,70000000.0,18270000000.0,18200000000.0,19680000000.0,-4580000000.0,-4580000000.0,35700000000.0,17037988754.32526,101550000000.0,24870000000.0,162440000000.0,650000000.0,46830000000.0,0.0,23120000000.0,36020000000.0,9430000000.0,26530000000.0,27440000000.0,800000000.0,207988754.32526,3510000000.0,0.151817,137570000000.0,162440000000.0,1370000000.0,1370000000.0
