symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NormalizedIncome,OperatingRevenue,OtherIncomeExpense,OtherOperatingExpenses,PretaxIncome,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue
LICI.NS,2023-03-31,3M,INR,,,,,131907943000.0,131907943000.0,131907943000.0,131907943000.0,,131907943000.0,131907943000.0,131907943000.0,131907943000.0,2111190351100.0,0.0,-47618700000.0,131909467000.0,0.0,1544000.0,1.2e-05,1979692658000.0,2111190351100.0
LICI.NS,2023-06-30,3M,INR,6326318516.0,15.23,6326318516.0,15.23,96349831000.0,96349831000.0,96349831000.0,96349831000.0,,96349831000.0,96349831000.0,96349831000.0,96349831000.0,1925283397000.0,0.0,999410000.0,97335534000.0,0.0,985703000.0,0.010127,1827735400000.0,1925283397000.0
LICI.NS,2023-09-30,3M,INR,6323058898.0,12.7,6323058898.0,12.7,80302848000.0,80302848000.0,80302848000.0,80302848000.0,,80302848000.0,80302848000.0,80302848000.0,80302848000.0,2031662292000.0,0.0,27638895000.0,81276925000.0,0.0,974077000.0,0.011985,1947757596000.0,2031662292000.0
LICI.NS,2023-09-30,TTM,INR,6325204979.0,58.82,6325204979.0,58.82,,,,,,,,,,,,,,,,,,
LICI.NS,2023-12-31,3M,INR,6325308684.0,14.97,6325308684.0,14.97,94689871000.0,94689871000.0,94689871000.0,94689871000.0,0.0,94689871000.0,94689871000.0,94689871000.0,94689871000.0,2138761379000.0,0.0,31124160000.0,95309202000.0,0.0,619331000.0,0.006498,2042442445000.0,2138761379000.0
LICI.NS,2023-12-31,TTM,INR,6325625484.0,63.75,6325625484.0,63.75,403250493000.0,403250493000.0,403250493000.0,403250493000.0,,403250493000.0,403250493000.0,403250493000.0,403250493000.0,8205046869100.0,0.0,248402109000.0,405831148000.0,0.0,2580655000.0,0.006359,8033887343000.0,8205046869100.0
