symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
PIDILITIND.NS,2023-03-31,3M,INR,,,14879400000.0,761600000.0,366200000.0,,,2830300000.0,4043600000.0,4805200000.0,11538300000.0,118400000.0,118400000.0,-28300000.0,2830300000.0,2830300000.0,2858600000.0,2830300000.0,2830300000.0,2858600000.0,-42100000.0,-42100000.0,4611000000.0,2688870233.363905,7334500000.0,4203800000.0,26417700000.0,-85900000.0,-2074000000.0,0.0,3925200000.0,14879400000.0,761600000.0,5300000.0,52770233.363905,1066600000.0,0.271731,22213900000.0,26417700000.0,194200000.0,194200000.0
PIDILITIND.NS,2023-06-30,3M,INR,508317047.0,9.21,16697200000.0,734300000.0,734300000.0,508869565.0,9.2,4681600000.0,6560000000.0,7294300000.0,16053900000.0,118800000.0,118800000.0,-55300000.0,4681600000.0,4681600000.0,4736900000.0,4681600000.0,4681600000.0,4736900000.0,-118800000.0,-118800000.0,7294300000.0,4681600000.0,9718700000.0,6335200000.0,32751100000.0,234300000.0,5429900000.0,0.0,6441200000.0,16697200000.0,734300000.0,0.0,0.0,1704300000.0,0.264594,26415900000.0,32751100000.0,0.0,0.0
PIDILITIND.NS,2023-09-30,3M,INR,508644068.0,8.85,14977900000.0,752100000.0,752100000.0,508644068.0,8.85,4501500000.0,6347400000.0,7099500000.0,15782500000.0,131300000.0,131300000.0,-83800000.0,4501500000.0,4501500000.0,4585300000.0,4501500000.0,4501500000.0,4585300000.0,-131300000.0,-131300000.0,7099500000.0,4501500000.0,9737500000.0,6045000000.0,30760400000.0,315900000.0,5353900000.0,0.0,6216100000.0,14977900000.0,752100000.0,,0.0,1630800000.0,0.262351,24715400000.0,30760400000.0,,
PIDILITIND.NS,2023-09-30,TTM,INR,508447006.0,29.61,,,,508611310.0,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIDILITIND.NS,2023-12-31,3M,INR,508446215.0,10.04,14749400000.0,794900000.0,794900000.0,508446215.0,10.04,5104800000.0,7001800000.0,7796700000.0,16550500000.0,127600000.0,127600000.0,-4400000.0,5104800000.0,5104800000.0,5109200000.0,5104800000.0,5104800000.0,5109200000.0,-127600000.0,-127600000.0,7796700000.0,5104800000.0,9920900000.0,6629600000.0,31299900000.0,369800000.0,5397300000.0,0.0,6874200000.0,14749400000.0,794900000.0,,0.0,1765000000.0,0.256757,24670300000.0,31299900000.0,,
PIDILITIND.NS,2023-12-31,TTM,INR,508405728.0,33.67,61304100000.0,3042900000.0,2647500000.0,508698336.0,33.65,17118200000.0,23952800000.0,26995700000.0,59925000000.0,496100000.0,496100000.0,-171800000.0,17118200000.0,17118200000.0,17290000000.0,17118200000.0,17118200000.0,17290000000.0,-419800000.0,-419800000.0,26801500000.0,16975054630.02042,36708400000.0,23216600000.0,121229100000.0,830900000.0,14103900000.0,0.0,23456700000.0,61304100000.0,3042900000.0,,51054630.020421,6166700000.0,0.262897,98012500000.0,121229100000.0,194200000.0,194200000.0
