symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,InterestExpense,InterestIncome,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,PretaxIncome,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
IDFCFIRSTB.NS,2023-03-31,3M,INR,,,,,8161194000.0,28270568000.0,64244229000.0,8161194000.0,8161194000.0,8161187000.0,0.0,8161194000.0,8161194000.0,8161187000.0,35973661000.0,8155618175.322808,31367956000.0,54507666000.0,5538088000.0,10943887000.0,7477000.0,1901175.322808,2782700000.0,0.25427,54507666000.0,7477000.0,7477000.0
IDFCFIRSTB.NS,2023-09-30,3M,INR,6668303571.0,1.12,6728378378.0,1.11,7468500000.0,34056100000.0,73562700000.0,7468500000.0,7468500000.0,7468500000.0,0.0,7468500000.0,7468500000.0,7468500000.0,39506600000.0,7468500000.0,38490200000.0,53602000000.0,24717200000.0,9828200000.0,0.0,0.0,2359700000.0,0.240095,53602000000.0,0.0,0.0
IDFCFIRSTB.NS,2023-09-30,TTM,INR,6437690769.0,4.52,6579334544.0,4.43,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB.NS,2023-12-31,3M,INR,7039326923.0,1.04,7107669903.0,1.03,7320900000.0,35923500000.0,78795000000.0,7320900000.0,7320900000.0,7320900000.0,0.0,7320900000.0,7320900000.0,7320900000.0,42871500000.0,7320900000.0,42191600000.0,58037100000.0,28145800000.0,9297400000.0,0.0,0.0,1976500000.0,0.212586,58037100000.0,0.0,0.0
IDFCFIRSTB.NS,2023-12-31,TTM,INR,6651213865.0,4.56,6778704688.0,4.48,30265694000.0,129473768000.0,285290529000.0,30265694000.0,30265694000.0,30265687000.0,,30265694000.0,30265694000.0,30265687000.0,155816761000.0,30260041064.571648,148426956000.0,217247866000.0,81446988000.0,40031687000.0,7477000.0,1824064.571648,9766000000.0,0.243957,217247866000.0,7477000.0,7477000.0
