symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
DABUR.NS,2023-03-31,3M,INR,,,14984500000.0,1020000000.0,686800000.0,,,3008300000.0,4192700000.0,5212700000.0,10759700000.0,230200000.0,230200000.0,80700000.0,3008300000.0,3008300000.0,2927600000.0,3008300000.0,3008300000.0,2927600000.0,3290100000.0,3290100000.0,4713200000.0,2639256164.037855,7647800000.0,3111900000.0,25744200000.0,-3031900000.0,-2793900000.0,0.0,3962500000.0,14984500000.0,1020000000.0,5573600000.0,6945200000.0,275600000.0,130456164.037855,1034900000.0,0.261174,22632300000.0,25744200000.0,499500000.0,499500000.0
DABUR.NS,2023-06-30,3M,INR,1770534351.0,2.62,16717200000.0,966400000.0,966400000.0,1777318008.0,2.61,4638800000.0,6176700000.0,7143100000.0,14587500000.0,243100000.0,243100000.0,72700000.0,4638800000.0,4638800000.0,4566100000.0,4638800000.0,4638800000.0,4566100000.0,-243100000.0,-243100000.0,7143100000.0,4638800000.0,9506600000.0,5080900000.0,31304700000.0,1097800000.0,3524400000.0,0.0,5933600000.0,16717200000.0,966400000.0,2043400000.0,2043400000.0,0.0,0.0,1367500000.0,0.230467,26223800000.0,31304700000.0,0.0,0.0
DABUR.NS,2023-09-30,3M,INR,1769931271.0,2.91,16556700000.0,983200000.0,983200000.0,1776034483.0,2.9,5150500000.0,6794500000.0,7777700000.0,15481700000.0,281400000.0,281400000.0,80100000.0,5150500000.0,5150500000.0,5070400000.0,5150500000.0,5150500000.0,5070400000.0,-281400000.0,-281400000.0,7777700000.0,5150500000.0,9856200000.0,5625500000.0,32038400000.0,1164100000.0,3552800000.0,0.0,6513100000.0,16556700000.0,983200000.0,2165300000.0,2165300000.0,0.0,0.0,1442700000.0,0.221507,26412900000.0,32038400000.0,0.0,0.0
DABUR.NS,2023-09-30,TTM,INR,1771833742.0,9.91,,,,1776849264.0,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR.NS,2023-12-31,3M,INR,1773172414.0,2.9,16728100000.0,968900000.0,968900000.0,1773172414.0,2.9,5142200000.0,6979000000.0,7947900000.0,15822500000.0,364900000.0,364900000.0,77800000.0,5142200000.0,5142200000.0,5064400000.0,5142200000.0,5142200000.0,5064400000.0,-364900000.0,-364900000.0,7947900000.0,5142200000.0,10113200000.0,5709300000.0,32550600000.0,1273700000.0,3592900000.0,0.0,6614100000.0,16728100000.0,968900000.0,2445400000.0,2445400000.0,0.0,0.0,1549700000.0,0.234302,26841300000.0,32550600000.0,0.0,0.0
DABUR.NS,2023-12-31,TTM,INR,1771235334.0,10.13,64986500000.0,3938500000.0,3605300000.0,1776137204.0,10.1,17939800000.0,24142900000.0,28081400000.0,56651400000.0,1119600000.0,1119600000.0,311300000.0,17939800000.0,17939800000.0,17628500000.0,17939800000.0,17939800000.0,17628500000.0,2400700000.0,2400700000.0,27581900000.0,17557342413.554962,37123800000.0,19527600000.0,121637900000.0,503700000.0,7876200000.0,0.0,23023300000.0,64986500000.0,3938500000.0,12227700000.0,13599300000.0,275600000.0,117042413.554964,5394800000.0,0.234319,102110300000.0,121637900000.0,499500000.0,499500000.0
