symbol,asOfDate,periodType,currencyCode,Amortization,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfCapitalAssets,InterestExpense,InterestExpenseNonOperating,InterestIncome,InterestIncomeNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,RentAndLandingFees,RentExpenseSupplemental,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalOtherFinanceCost,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
JSWINFRA.NS,2023-03-31,3M,INR,,,,4289100000.0,,,,,3004500000.0,3525090000.0,3525090000.0,,4863910000.0,,570670000.0,570670000.0,,,-18230000.0,3004500000.0,3004500000.0,3022730000.0,3004500000.0,3004500000.0,3022730000.0,498020000.0,498020000.0,3525090000.0,3004500000.0,921360000.0,3942550000.0,9153010000.0,-851090000.0,-3907170000.0,0.0,2954420000.0,4289100000.0,,,,,,,0.0,-68310000.0,0.3,5210460000.0,,9153010000.0,,
JSWINFRA.NS,2023-06-30,3M,INR,415050000.0,2100001567.0,1.528046,2297580000.0,947420000.0,532370000.0,2100001567.0,1.528046,3208900000.0,4818090000.0,5765510000.0,169860000.0,6483450000.0,0.0,693170000.0,693170000.0,298970000.0,298970000.0,-13140000.0,3208900000.0,3208900000.0,3222040000.0,3208900000.0,3208900000.0,3222040000.0,-415310000.0,-415310000.0,5706130000.0,3162517346.46975,2874520000.0,3608930000.0,8781030000.0,7150000.0,1713660000.0,0.0,4124920000.0,2297580000.0,947420000.0,38780000.0,38780000.0,15820000.0,185680000.0,0.0,12997346.46975,902880000.0,0.218884,5172100000.0,21110000.0,8781030000.0,59380000.0,59380000.0
JSWINFRA.NS,2023-09-30,3M,INR,,2100001567.0,1.211428,1712200000.0,,,2100001567.0,1.211428,2544000000.0,4033300000.0,5038380000.0,,6770900000.0,,751700000.0,751700000.0,,,-14700000.0,2544000000.0,2544000000.0,2558700000.0,2544000000.0,2544000000.0,2558700000.0,-751700000.0,-751700000.0,5038380000.0,2544000000.0,3254300000.0,3516600000.0,8483100000.0,471700000.0,3254300000.0,0.0,3281600000.0,1712200000.0,1005080000.0,,,,,,0.0,722900000.0,0.220289,4966500000.0,,8483100000.0,,
JSWINFRA.NS,2023-09-30,TTM,INR,,2100001567.0,4.71733,,,,2100001567.0,4.71733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWINFRA.NS,2023-12-31,3M,INR,,2088833333.0,1.2,1770400000.0,,,2124237288.0,1.18,2506600000.0,3742000000.0,3742000000.0,,7630700000.0,,671500000.0,671500000.0,,,-29100000.0,2506600000.0,2506600000.0,2535700000.0,2506600000.0,2506600000.0,2535700000.0,-671500000.0,-671500000.0,3742000000.0,2506600000.0,3907600000.0,3723100000.0,9401100000.0,781900000.0,3907600000.0,0.0,3070500000.0,1770400000.0,,,,,,,0.0,534800000.0,0.174174,5678000000.0,,9401100000.0,,
JSWINFRA.NS,2023-12-31,TTM,INR,,2043554209.0,5.511867,9445800000.0,,,2043554209.0,5.511867,11263800000.0,16139490000.0,16139490000.0,,26372410000.0,,2708170000.0,2708170000.0,,,-75230000.0,11263800000.0,11263800000.0,11339030000.0,11263800000.0,11263800000.0,11339030000.0,-1639480000.0,-1639480000.0,16115840000.0,11243834124.754679,11624160000.0,14748250000.0,35818210000.0,803810000.0,6795630000.0,0.0,13431320000.0,9445800000.0,,,,,,,3684124.754678,2092290000.0,0.155777,21069960000.0,,35818210000.0,23650000.0,23650000.0
