symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
ADANIENT.NS,2023-03-31,3M,INR,,,261165600000.0,,,7224800000.0,17260600000.0,17260600000.0,50776100000.0,5584900000.0,5584900000.0,-582000000.0,7224800000.0,7224800000.0,7806800000.0,7224800000.0,7224800000.0,7806800000.0,-1505800000.0,-1505800000.0,21432200000.0,9806749467.697868,24323100000.0,26453000000.0,311941700000.0,-5259600000.0,3219000000.0,0.0,11675700000.0,261165600000.0,-4277500000.0,-1589650532.302132,4449200000.0,0.381065,285488700000.0,311941700000.0,-4171600000.0,-4171600000.0
ADANIENT.NS,2023-06-30,3M,INR,1140321489.0,5.91,156498100000.0,1140321489.0,5.91,6739300000.0,21816300000.0,21816300000.0,97886400000.0,11031100000.0,11031100000.0,-30000000.0,6739300000.0,6739300000.0,6769300000.0,6739300000.0,6739300000.0,6769300000.0,-11031100000.0,-11031100000.0,21816300000.0,6739300000.0,77504200000.0,20382200000.0,254384500000.0,3714900000.0,71765800000.0,0.0,10785200000.0,156498100000.0,0.0,0.0,3603600000.0,0.334125,234002300000.0,254384500000.0,0.0,0.0
ADANIENT.NS,2023-09-30,3M,INR,1139100000.0,2.0,138769900000.0,1139100000.0,2.0,2278200000.0,21338600000.0,21338600000.0,86403400000.0,13428400000.0,13428400000.0,-1055200000.0,2278200000.0,2278200000.0,3333400000.0,2278200000.0,2278200000.0,3333400000.0,-13428400000.0,-13428400000.0,22218600000.0,2894200000.0,68637000000.0,17766400000.0,225173300000.0,5487000000.0,62771300000.0,0.0,7910200000.0,138769900000.0,-880000000.0,-264000000.0,3978000000.0,0.3,207406900000.0,225173300000.0,-880000000.0,-880000000.0
ADANIENT.NS,2023-09-30,TTM,INR,1140243743.0,21.46,,1140243743.0,21.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT.NS,2023-12-31,3M,INR,1139680145.0,16.57,162776400000.0,1139680145.0,16.57,18884500000.0,29576000000.0,29576000000.0,120587400000.0,5967800000.0,5967800000.0,-843000000.0,18884500000.0,18884500000.0,19727500000.0,18884500000.0,18884500000.0,19727500000.0,-5967800000.0,-5967800000.0,29576000000.0,18884500000.0,96923000000.0,23664400000.0,283363800000.0,4901500000.0,91437800000.0,0.0,23608200000.0,162776400000.0,0.0,0.0,4431500000.0,0.18771,259699400000.0,283363800000.0,0.0,0.0
ADANIENT.NS,2023-12-31,TTM,INR,1140038985.0,30.82,719210000000.0,1140038985.0,30.82,35126800000.0,89991500000.0,89991500000.0,355653300000.0,36012200000.0,36012200000.0,-2510200000.0,35126800000.0,35126800000.0,37637000000.0,35126800000.0,35126800000.0,37637000000.0,-31933100000.0,-31933100000.0,95043100000.0,38637791754.24654,267387300000.0,88266000000.0,1074863300000.0,8843800000.0,229193900000.0,0.0,53979300000.0,719210000000.0,-5157500000.0,-1540608245.753465,16462300000.0,0.304974,986597300000.0,1074863300000.0,-5051600000.0,-5051600000.0
