symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeExtraordinary,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingExpense,OperatingRevenue,OtherOperatingExpenses,PretaxIncome,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
CANBK.NS,2023-03-31,3M,INR,,,,,33365057000.0,152918440000.0,243042261000.0,-271442000.0,33365057000.0,33365057000.0,33636531000.0,0.0,33365057000.0,33365057000.0,33636531000.0,90123821000.0,31004303243.656155,70072985000.0,136391487000.0,-7240602000.0,42287296000.0,3087994000.0,727240243.656156,9958900000.0,0.235506,136391487000.0,3087994000.0,3087994000.0
CANBK.NS,2023-06-30,3M,INR,1814133916.0,20.61,1814133916.0,20.61,37389300000.0,163369700000.0,254507900000.0,-158900000.0,37389300000.0,37389300000.0,37548200000.0,0.0,37389300000.0,37389300000.0,37548200000.0,91138200000.0,37389300000.0,85719500000.0,159224400000.0,47617400000.0,49328900000.0,0.0,0.0,13593900000.0,0.275577,159224400000.0,0.0,0.0
CANBK.NS,2023-09-30,3M,INR,1814462494.0,20.93,1814462494.0,20.93,37976700000.0,179342700000.0,272896100000.0,-311800000.0,37976700000.0,37976700000.0,38288500000.0,0.0,37976700000.0,37976700000.0,38288500000.0,93553400000.0,37976700000.0,108589200000.0,159569400000.0,69021500000.0,50980200000.0,0.0,0.0,14206300000.0,0.278663,159569400000.0,0.0,0.0
CANBK.NS,2023-09-30,TTM,INR,1814209260.0,76.65,1814209260.0,76.65,,,,,,,,,,,,,,,,,,,,,,,,
CANBK.NS,2023-12-31,3M,INR,1814365725.0,20.89,1814365725.0,20.89,37902100000.0,186202600000.0,284922400000.0,-363400000.0,37902100000.0,37902100000.0,38265500000.0,0.0,37902100000.0,37902100000.0,38265500000.0,98719800000.0,37902100000.0,98944400000.0,170099200000.0,51989000000.0,50085900000.0,0.0,0.0,12703300000.0,0.25363,170099200000.0,0.0,0.0
CANBK.NS,2023-12-31,TTM,INR,1814100966.0,80.83,1814100966.0,80.83,146633157000.0,681833440000.0,1055368661000.0,-1105542000.0,146633157000.0,146633157000.0,147738731000.0,,146633157000.0,146633157000.0,147738731000.0,373535221000.0,144353891106.63208,341318585000.0,625284487000.0,139379798000.0,192682296000.0,3087994000.0,808728106.63207,50462400000.0,0.261894,625284487000.0,3087994000.0,3087994000.0
