symbol,asOfDate,periodType,currencyCode,BasicAverageShares,BasicEPS,CostOfRevenue,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EBIT,EBITDA,GrossProfit,InterestExpense,InterestExpenseNonOperating,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NetNonOperatingInterestIncomeExpense,NormalizedEBITDA,NormalizedIncome,OperatingExpense,OperatingIncome,OperatingRevenue,OtherNonOperatingIncomeExpenses,OtherOperatingExpenses,OtherunderPreferredStockDividend,PretaxIncome,ReconciledCostOfRevenue,ReconciledDepreciation,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalExpenses,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
GODREJPROP.NS,2023-03-31,3M,INR,,,9903800000.0,65800000.0,41000000.0,,,4121400000.0,5232300000.0,5298100000.0,6558900000.0,-465000000.0,-465000000.0,-417300000.0,4121400000.0,4121400000.0,4538700000.0,4121400000.0,4121400000.0,4538700000.0,5635500000.0,5635500000.0,5298100000.0,4121400000.0,3164600000.0,3394300000.0,16462700000.0,-5662200000.0,-576500000.0,0.0,5697300000.0,9903800000.0,65800000.0,0.0,1158600000.0,0.203359,13068400000.0,16462700000.0,,
GODREJPROP.NS,2023-06-30,3M,INR,272200436.0,4.59,6809000000.0,69300000.0,69300000.0,272200436.0,4.59,1249400000.0,2225900000.0,2295200000.0,2551900000.0,296700000.0,296700000.0,-87500000.0,1249400000.0,1249400000.0,1336900000.0,1249400000.0,1249400000.0,1336900000.0,-296700000.0,-296700000.0,2295200000.0,1249400000.0,4113200000.0,-1561300000.0,9360900000.0,3298900000.0,3451600000.0,0.0,1929200000.0,6809000000.0,69300000.0,0.0,592300000.0,0.307018,10922200000.0,9360900000.0,,
GODREJPROP.NS,2023-09-30,3M,INR,278333333.0,2.4,1618300000.0,73900000.0,73900000.0,278333333.0,2.4,668000000.0,1594300000.0,1668200000.0,1811700000.0,480100000.0,480100000.0,-58400000.0,668000000.0,668000000.0,726400000.0,668000000.0,668000000.0,726400000.0,-480100000.0,-480100000.0,1668200000.0,668000000.0,2502200000.0,-690500000.0,3430000000.0,2621100000.0,1696400000.0,0.0,1114200000.0,1618300000.0,73900000.0,0.0,387800000.0,0.348052,4120500000.0,3430000000.0,,
GODREJPROP.NS,2023-09-30,TTM,INR,278128675.0,23.83,,,,278149197.0,23.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJPROP.NS,2023-12-31,3M,INR,277991071.0,2.24,1050500000.0,141600000.0,141600000.0,277991071.0,2.24,622700000.0,1376300000.0,1517900000.0,2253900000.0,429700000.0,429700000.0,-4500000.0,622700000.0,622700000.0,627200000.0,622700000.0,622700000.0,627200000.0,-429700000.0,-429700000.0,1517900000.0,622700000.0,2811200000.0,-557300000.0,3304400000.0,2178700000.0,1869100000.0,0.0,946600000.0,1050500000.0,141600000.0,0.0,319400000.0,0.337418,3861700000.0,3304400000.0,,
GODREJPROP.NS,2023-12-31,TTM,INR,278002918.0,23.96,19381600000.0,350600000.0,325800000.0,278023440.0,23.96,6661500000.0,10428800000.0,10779400000.0,13176400000.0,741500000.0,741500000.0,-567700000.0,6661500000.0,6661500000.0,7229200000.0,6661500000.0,6661500000.0,7229200000.0,4429000000.0,4429000000.0,9362500000.0,5604130714.440556,12591200000.0,585200000.0,32558000000.0,2436500000.0,6440600000.0,0.0,9687300000.0,19381600000.0,350600000.0,359530714.440556,2458100000.0,0.253745,31972800000.0,32558000000.0,1416900000.0,1416900000.0
