symbol,asOfDate,periodType,currencyCode,NetIncome
ZEEL.NS,2023-03-31,3M,INR,-1960100000.0
ZEEL.NS,2023-06-30,3M,INR,-534200000.0
ZEEL.NS,2023-09-30,3M,INR,1229600000.0
ZEEL.NS,2023-12-31,3M,INR,585400000.0
ZEEL.NS,2023-12-31,TTM,INR,-679400000.0
