symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,CommonStockIssuance,DeferredTax,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,NetCommonStockIssuance,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash,OtherNonCashItems,PurchaseOfInvestment,PurchaseOfPPE,TaxesRefundPaid
LTIM.NS,2023-03-31,3M,INR,19927000000.0,,,5965000000.0,-7692000000.0,6496000000.0,,,6332000000.0,3073000000.0,3073000000.0,45000000.0,23377000000.0,-11225000000.0,12130000000.0,-1053000000.0,590000000.0,-777000000.0,,,11137000000.0,20954000000.0,1928000000.0,427000000.0,,507000000.0,,-6336000000.0,,18498000000.0,,272000000.0,,,-6843000000.0
LTIM.NS,2023-06-30,3M,INR,23377000000.0,-1978000000.0,,-8333000000.0,-4435000000.0,-8237000000.0,,1000000.0,3841000000.0,1847000000.0,1847000000.0,-96000000.0,15070000000.0,-832000000.0,8365000000.0,-459000000.0,461000000.0,-17748000000.0,1000000.0,1000000.0,11515000000.0,11523000000.0,-16231000000.0,40000000.0,40000000.0,210000000.0,,-1978000000.0,,10343000000.0,26000000.0,-53000000.0,-16231000000.0,-1978000000.0,-2380000000.0
LTIM.NS,2023-09-30,3M,INR,15070000000.0,-2015000000.0,,-319000000.0,-1096000000.0,-415000000.0,,5000000.0,3570000000.0,2082000000.0,2082000000.0,10000000.0,14639000000.0,-12930000000.0,8691000000.0,-468000000.0,654000000.0,1809000000.0,5000000.0,5000000.0,11618000000.0,11623000000.0,3195000000.0,163000000.0,,-168000000.0,,-1981000000.0,,10706000000.0,,-457000000.0,-126396000000.0,-2015000000.0,-5250000000.0
LTIM.NS,2023-12-31,3M,INR,14639000000.0,,-5918000000.0,655000000.0,6225000000.0,451000000.0,-5918000000.0,1000000.0,3754000000.0,1990000000.0,1990000000.0,204000000.0,15294000000.0,-6833000000.0,18204000000.0,-571000000.0,555000000.0,-10920000000.0,1000000.0,1000000.0,11689000000.0,11693000000.0,-10072000000.0,230000000.0,,-22000000.0,-1403000000.0,,230000000.0,18204000000.0,,-762000000.0,,,-4696000000.0
LTIM.NS,2023-12-31,TTM,INR,19927000000.0,,,-4906000000.0,-2410000000.0,-4579000000.0,,10000000.0,14466000000.0,7742000000.0,7742000000.0,-54000000.0,15348000000.0,-26623000000.0,40880000000.0,-1932000000.0,2018000000.0,-27068000000.0,10000000.0,10000000.0,45959000000.0,45980000000.0,-22344000000.0,860000000.0,,530000000.0,,,860000000.0,49112000000.0,,-999000000.0,,,-15996000000.0
