symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInOtherCurrentAssets,ChangeInWorkingCapital,ChangesInCash,CommonStockDividendPaid,Depreciation,DepreciationAndAmortization,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestReceivedCFI,InvestingCashFlow,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetPPEPurchaseAndSale,NetShortTermDebtIssuance,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfPPE,SaleOfPPE,TaxesRefundPaid
PFC.NS,2023-03-31,3M,INR,52030100000.0,-767800000.0,-13293800000.0,-51630100000.0,7978700000.0,-515058000000.0,-51630100000.0,-13293800000.0,142100000.0,142100000.0,400000000.0,409797300000.0,-458940900000.0,-2556900000.0,51000000.0,-300000.0,-3254300000.0,-2513600000.0,46767100000.0,77618200000.0,-2499800000.0,423096800000.0,458925000000.0,7800000.0,-764600000.0,-35828200000.0,-458173100000.0,-132200000.0,-1215200000.0,-767800000.0,,-8883300000.0
PFC.NS,2023-06-30,3M,INR,,,,,,,,,,,,,,,,,,,45763200000.0,,,,,,,,,,,,,
PFC.NS,2023-09-30,3M,INR,,,,,,,,,,,,,,,,,,,48330800000.0,,,,,,,,,,,,,
PFC.NS,2023-12-31,3M,INR,62862800000.0,-657600000.0,-19449800000.0,18134500000.0,-1218100000.0,-271786200000.0,18134500000.0,-19449800000.0,137900000.0,137900000.0,93729900000.0,242112900000.0,-210258000000.0,-487500000.0,28400000.0,-1200000.0,-14378000000.0,-814500000.0,47274000000.0,79613200000.0,-13735800000.0,261573900000.0,263629100000.0,,-657100000.0,-2055200000.0,-209600400000.0,1952200000.0,151300000.0,-657600000.0,500000.0,-21585200000.0
PFC.NS,2023-12-31,TTM,INR,52030100000.0,-2228000000.0,-53557100000.0,28967200000.0,4679500000.0,-1438275800000.0,28967200000.0,-53557100000.0,527600000.0,527600000.0,80997300000.0,1254554100000.0,-1207772500000.0,-5215800000.0,104200000.0,-3500000.0,-20042400000.0,-11277800000.0,188135100000.0,317529400000.0,-17843200000.0,1308142900000.0,1315477400000.0,,-2222200000.0,-7334500000.0,-1205544500000.0,-1144300000.0,-765100000.0,-2228000000.0,,-56600800000.0
