symbol,asOfDate,periodType,currencyCode,NetIncome
BAJAJFINSV.NS,2023-03-31,3M,INR,17689500000.0
BAJAJFINSV.NS,2023-06-30,3M,INR,19426300000.0
BAJAJFINSV.NS,2023-09-30,3M,INR,19289600000.0
BAJAJFINSV.NS,2023-12-31,3M,INR,21576700000.0
BAJAJFINSV.NS,2023-12-31,TTM,INR,77982100000.0
