symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,Depreciation,DepreciationAndAmortization,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,NetBusinessPurchaseAndSale,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,ProvisionandWriteOffofAssets,PurchaseOfBusiness,PurchaseOfInvestment,PurchaseOfPPE,SaleOfBusiness,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
ABB.NS,2023-03-31,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,2448900000.0,,,,,,,,,,,,,
ABB.NS,2023-06-30,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,2956300000.0,,,,,,,,,,,,,
ABB.NS,2023-09-30,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,3628700000.0,,,,,,,,,,,,,
ABB.NS,2023-12-31,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,3386600000.0,,,,,,,,,,,,,
ABB.NS,2023-12-31,TTM,INR,31468600000.0,-1830800000.0,-2331000000.0,-22701400000.0,-1401000000.0,796900000.0,2163400000.0,4778400000.0,-4642100000.0,1695600000.0,-22701400000.0,1199200000.0,1199200000.0,1600000.0,8768800000.0,-2694500000.0,11684000000.0,137900000.0,0.0,69700000.0,-126600000.0,2770300000.0,-33521700000.0,0.0,56100000.0,12420500000.0,16507000000.0,-34461200000.0,-1830800000.0,13514800000.0,-2643700000.0,-140500000.0,0.0,-74892700000.0,-1830800000.0,0.0,40431500000.0,0.0,-3667200000.0
