symbol,asOfDate,periodType,currencyCode,NetIncome
MOTHERSON.NS,2023-03-31,3M,INR,6540100000.0
MOTHERSON.NS,2023-06-30,3M,INR,6008700000.0
MOTHERSON.NS,2023-09-30,3M,INR,2015500000.0
MOTHERSON.NS,2023-12-31,3M,INR,5419600000.0
MOTHERSON.NS,2023-12-31,TTM,INR,19983900000.0
