symbol,asOfDate,periodType,currencyCode,AmortizationCashFlow,AmortizationOfIntangibles,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,CashFlowFromContinuingFinancingActivities,CashFlowFromContinuingInvestingActivities,CashFlowFromContinuingOperatingActivities,ChangeInAccountPayable,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherWorkingCapital,ChangeInPayable,ChangeInPayablesAndAccruedExpense,ChangeInReceivables,ChangeInWorkingCapital,ChangesInAccountReceivables,ChangesInCash,CommonStockIssuance,DeferredIncomeTax,DeferredTax,Depreciation,DepreciationAmortizationDepletion,DepreciationAndAmortization,DividendsReceivedCFI,EarningsLossesFromEquityInvestments,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnSaleOfBusiness,GainLossOnSaleOfPPE,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,IssuanceOfCapitalStock,IssuanceOfDebt,LongTermDebtIssuance,LongTermDebtPayments,NetBusinessPurchaseAndSale,NetCommonStockIssuance,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetInvestmentPurchaseAndSale,NetIssuancePaymentsOfDebt,NetLongTermDebtIssuance,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OperatingGainsLosses,OtherNonCashItems,PurchaseOfBusiness,PurchaseOfInvestment,PurchaseOfPPE,RepaymentOfDebt,SaleOfBusiness,SaleOfInvestment,SaleOfPPE,StockBasedCompensation,TaxesRefundPaid
WIPRO.NS,2023-03-31,3M,INR,,,87295000000.0,-3015000000.0,-5477000000.0,-17356000000.0,-15152000000.0,37298000000.0,-32000000.0,4790000000.0,828000000.0,4618000000.0,-4242000000.0,-32000000.0,-32000000.0,92000000.0,1264000000.0,2090000000.0,4790000000.0,2000000.0,9249000000.0,9249000000.0,15813000000.0,8466000000.0,8466000000.0,0.0,-4000000.0,-224000000.0,91861000000.0,-17356000000.0,34283000000.0,-3000000.0,141000000.0,-2172000000.0,4170000000.0,-15152000000.0,2000000.0,53684000000.0,53684000000.0,-62860000000.0,0.0,2000000.0,-2495000000.0,30745000000.0,30935000000.0,-16404000000.0,-9176000000.0,-9176000000.0,-533000000.0,0.0,-2918000000.0,37298000000.0,-2361000000.0,-2990000000.0,0.0,-224597000000.0,-3015000000.0,-62860000000.0,0.0,208193000000.0,97000000.0,300000000.0,-7565000000.0
WIPRO.NS,2023-06-30,3M,INR,1810000000.0,1810000000.0,91861000000.0,-2209000000.0,0.0,-6510000000.0,-38811000000.0,37513000000.0,-8052000000.0,-7808000000.0,-182000000.0,5292000000.0,-3072000000.0,-8052000000.0,-8052000000.0,5886000000.0,-128000000.0,11933000000.0,-7808000000.0,2000000.0,9115000000.0,9115000000.0,5570000000.0,7380000000.0,7380000000.0,1000000.0,-3000000.0,-461000000.0,83592000000.0,-6510000000.0,35304000000.0,,78000000.0,-2626000000.0,6869000000.0,-38811000000.0,2000000.0,15000000000.0,15000000000.0,-17399000000.0,0.0,2000000.0,-226000000.0,28701000000.0,28860000000.0,-29272000000.0,-2399000000.0,-2399000000.0,-1487000000.0,-15230000000.0,-1179000000.0,37513000000.0,-151000000.0,-3472000000.0,0.0,-269072000000.0,-2209000000.0,-17399000000.0,,239800000000.0,1030000000.0,1546000000.0,-5637000000.0
WIPRO.NS,2023-09-30,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26463000000.0,,,,,,,,,,,,,,,,,,,
WIPRO.NS,2023-09-30,TTM,INR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116438000000.0,,,,,,,,,,,,,,,,,,,
