symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,FinancingCashFlow,FreeCashFlow,InvestingCashFlow,NetIncome,NetIncomeFromContinuingOperations,OperatingCashFlow,OtherCashAdjustmentOutsideChangeinCash
ADANIPORTS.NS,2020-09-30,TTM,INR,72627300000.0,19174200000.0,36272800000.0,-64217800000.0,,47360600000.0,72486900000.0,3361300000.0
ADANIPORTS.NS,2023-03-31,3M,INR,,,,,11588800000.0,,,
ADANIPORTS.NS,2023-06-30,3M,INR,,,,,21147200000.0,,,
ADANIPORTS.NS,2023-09-30,3M,INR,,,,,17478500000.0,,,
ADANIPORTS.NS,2023-12-31,3M,INR,,,,,22084100000.0,,,
ADANIPORTS.NS,2023-12-31,TTM,INR,,,,,72298600000.0,,,
