symbol,asOfDate,periodType,currencyCode,BeginningCashPosition,CapitalExpenditure,CashDividendsPaid,ChangeInCashSupplementalAsReported,ChangeInInventory,ChangeInOtherCurrentAssets,ChangeInOtherCurrentLiabilities,ChangeInPayable,ChangeInReceivables,ChangeInWorkingCapital,ChangesInCash,DeferredTax,Depreciation,DepreciationAndAmortization,DividendsReceivedCFI,EffectOfExchangeRateChanges,EndCashPosition,FinancingCashFlow,FreeCashFlow,GainLossOnInvestmentSecurities,GainLossOnSaleOfPPE,InterestPaidCFF,InterestReceivedCFI,InvestingCashFlow,NetForeignCurrencyExchangeGainLoss,NetIncome,NetIncomeFromContinuingOperations,NetIntangiblesPurchaseAndSale,NetInvestmentPurchaseAndSale,NetOtherFinancingCharges,NetOtherInvestingChanges,NetPPEPurchaseAndSale,OperatingCashFlow,OtherNonCashItems,PurchaseOfIntangibles,PurchaseOfInvestment,PurchaseOfPPE,SaleOfInvestment,SaleOfPPE,TaxesRefundPaid
TCS.NS,2023-03-31,3M,INR,89270000000.0,-7760000000.0,-274430000000.0,-18280000000.0,20000000.0,-5750000000.0,1190000000.0,-7520000000.0,-3480000000.0,-15540000000.0,-18280000000.0,39550000000.0,7900000000.0,12860000000.0,60000000.0,240000000.0,71230000000.0,-280820000000.0,102740000000.0,-830000000.0,-60000000.0,-2730000000.0,9970000000.0,152040000000.0,-410000000.0,113920000000.0,114360000000.0,-590000000.0,1288420000000.0,0.0,0.0,-7100000000.0,110500000000.0,-6710000000.0,-590000000.0,771690000000.0,-7170000000.0,516730000000.0,70000000.0,-33140000000.0
TCS.NS,2023-06-30,3M,INR,71230000000.0,-3640000000.0,,85270000000.0,-40000000.0,-7360000000.0,-16920000000.0,490000000.0,-1850000000.0,-25680000000.0,85270000000.0,38690000000.0,12430000000.0,12430000000.0,40000000.0,-280000000.0,156220000000.0,-6280000000.0,102060000000.0,-900000000.0,-20000000.0,-1580000000.0,8690000000.0,-14150000000.0,60000000.0,110740000000.0,111200000000.0,-280000000.0,-22280000000.0,,30000000.0,-3330000000.0,105700000000.0,-10460000000.0,-280000000.0,-327650000000.0,-3360000000.0,305370000000.0,30000000.0,-19800000000.0
TCS.NS,2023-09-30,3M,INR,156220000000.0,-4680000000.0,,-80780000000.0,40000000.0,-17490000000.0,21310000000.0,900000000.0,-10750000000.0,-5990000000.0,-80780000000.0,39500000000.0,12630000000.0,12630000000.0,60000000.0,0.0,75440000000.0,-126560000000.0,109630000000.0,-700000000.0,0.0,-1540000000.0,4820000000.0,-68530000000.0,20000000.0,113420000000.0,113800000000.0,-210000000.0,-73990000000.0,,0.0,-4450000000.0,114310000000.0,-7140000000.0,-210000000.0,-377030000000.0,-4470000000.0,303040000000.0,20000000.0,-38130000000.0
TCS.NS,2023-12-31,3M,INR,,,,,,,,,,,,,,,,,,,,,,,,,,110580000000.0,,,,,,,,,,,,,,
TCS.NS,2023-12-31,TTM,INR,,,,,,,,,,,,,,,,,,,,,,,,,,448660000000.0,,,,,,,,,,,,,,
