symbol,asOfDate,periodType,currencyCode,NetIncome
BHARATFORG.NS,2023-03-31,3M,INR,1354980000.0
BHARATFORG.NS,2023-06-30,3M,INR,2234040000.0
BHARATFORG.NS,2023-09-30,3M,INR,2272250000.0
BHARATFORG.NS,2023-12-31,3M,INR,2645460000.0
BHARATFORG.NS,2023-12-31,TTM,INR,8506730000.0
