symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,OtherProperties,Payables,PreferredSharesNumber,PreferredStock,PreferredStockEquity,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest
KOTAKBANK.NS,2023-03-31,3M,INR,15559185000.0,-33220968000.0,253633988000.0,146347053000.0,14932783000.0,474704601000.0,1500000000.0,19020194000.0,9932783000.0,1118143983000.0,8137530000.0,8137530000.0,55833013000.0,1641483217000.0,1938207768000.0,1953379702000.0,651084000.0,14520850000.0,523339234000.0,15171934000.0,48634633000.0,22612045000.0,1115006453000.0,1986556582.0,603058000.0,30880205000.0,44508544000.0,46439390000.0,1000000000.0,5000000000.0,5000000000.0,1066886000.0,11324469000.0,109368201000.0,635331703000.0,1986556582.0,1123143983000.0,1110006453000.0,6204297348000.0,1646483217000.0,523339234000.0,1123143983000.0,5081153365000.0
KOTAKBANK.NS,2023-09-30,3M,INR,,,,,14937500000.0,504824700000.0,,297043200000.0,14937500000.0,1208153500000.0,8137500000.0,8137500000.0,,1823395100000.0,2084832600000.0,2084832600000.0,,,615241600000.0,,110416900000.0,23827200000.0,1200016000000.0,1987288535.0,784800000.0,,,,,,,,,,,1987288535.0,1208153500000.0,1200016000000.0,6780025700000.0,1823395100000.0,615241600000.0,1208153500000.0,5571872200000.0
