symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
IRFC.NS,2023-03-31,3M,INR,0.0,-53390000.0,19008740000.0,2247767830000.0,139650000.0,56390000.0,130685060000.0,2060280000.0,7155830000.0,1613780000.0,446500000.0,130685060000.0,454703170000.0,345633720000.0,37690000.0,239774800000.0,239812490000.0,497107950000.0,950000.0,9072810000.0,4952330000.0,12630000.0,232650000.0,2646805420000.0,2247767830000.0,18700000.0,1952327450000.0,1952346150000.0,1047070000.0,40240000.0,2190041970000.0,179260000.0,454690540000.0,0.0,13068506000.0,143129750000.0,-365860000.0,12630000.0,431990000.0,850770000.0,192620000.0,52760000.0,9925900000.0,5095550000.0,982380000.0,0.0,3236890000.0,85656060000.0,13068506000.0,454703170000.0,454690540000.0,3680230000.0,4911467480000.0,2407030620000.0,2192158640000.0,454703170000.0,4456764310000.0,4565833760000.0,3959656360000.0,789760000.0,-151474230000.0
IRFC.NS,2023-06-30,3M,INR,0.0,,,2282041380000.0,,106620000.0,130685060000.0,5122110000.0,6364210000.0,,,130685060000.0,470337520000.0,2456238770000.0,,,,24250000.0,,14368110000.0,4611340000.0,11660000.0,229880000.0,2435477430000.0,2282041380000.0,106620000.0,1965139910000.0,1965246530000.0,1205110000.0,,1960017800000.0,229880000.0,470325860000.0,0.0,13068506000.0,,339652460000.0,11660000.0,128120080000.0,583790000.0,24250000.0,229880000.0,49445080000.0,1242100000.0,24250000.0,,,,13068506000.0,470337520000.0,470325860000.0,3683730000.0,4871253110000.0,2435477430000.0,1965246530000.0,470337520000.0,4400915590000.0,2415014340000.0,4400891340000.0,0.0,2456214520000.0
IRFC.NS,2023-09-30,3M,INR,0.0,,,2332192860000.0,,98660000.0,130685060000.0,97020490000.0,107936360000.0,,,130685060000.0,476839500000.0,2512995540000.0,,,,115120000.0,,15615370000.0,5198900000.0,48280000.0,209910000.0,2402611790000.0,2332192860000.0,98660000.0,1925772290000.0,1925870950000.0,1456390000.0,,1828751800000.0,209910000.0,476791220000.0,0.0,13068506000.0,,346154440000.0,48280000.0,119495160000.0,26852180000.0,115120000.0,209910000.0,49445080000.0,10915870000.0,115120000.0,,,,13068506000.0,476839500000.0,476791220000.0,3689530000.0,4970140650000.0,2402611790000.0,1925870950000.0,476839500000.0,4493301150000.0,2457145110000.0,4493186030000.0,0.0,2512880420000.0
IRFC.NS,2023-12-31,3M,INR,0.0,,,2387231270000.0,,91350000.0,130685060000.0,5204150000.0,7096810000.0,,,130685060000.0,482493260000.0,2365879760000.0,,,,113150000.0,,15096170000.0,4552670000.0,46890000.0,230430000.0,2415218710000.0,2387231270000.0,91350000.0,1932725450000.0,1932816800000.0,1711540000.0,,1927521300000.0,230430000.0,482446370000.0,0.0,13068506000.0,,351808200000.0,46890000.0,120953120000.0,361320000.0,113150000.0,230430000.0,49445080000.0,1892660000.0,113150000.0,,,,13068506000.0,482493260000.0,482446370000.0,4025970000.0,4878894140000.0,2415218710000.0,1932816800000.0,482493260000.0,4396400880000.0,2513014380000.0,4396287730000.0,0.0,2365766610000.0
