symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentAccruedExpenses,NonCurrentDeferredAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
MPHASIS.NS,2023-03-31,3M,INR,8640150000.0,11255230000.0,-8024060000.0,2463630000.0,-847030000.0,3849850000.0,12145460000.0,8542900000.0,1884070000.0,10441130000.0,24215210000.0,427000000.0,10014130000.0,1884070000.0,79348390000.0,54600000.0,59530250000.0,1727080000.0,1984760000.0,3711840000.0,769960000.0,27978360000.0,1110220000.0,177410000.0,22530000.0,23250000.0,29585890000.0,31149080000.0,12102260000.0,17796780000.0,159880000.0,81333150000.0,3849850000.0,6815820000.0,6815820000.0,5596600000.0,9772720000.0,48199310000.0,150700000.0,279400000.0,2422400000.0,1029610000.0,375830000.0,746940000.0,188400043.0,8387790000.0,2431850000.0,2034420000.0,1563190000.0,1503830000.0,4274560000.0,120000.0,14925570000.0,13774080000.0,15148160000.0,1310500000.0,3042140000.0,0.0,22530000.0,59600210000.0,188400043.0,79348390000.0,48199310000.0,5139730000.0,116094590000.0,79348390000.0,10527660000.0,79348390000.0,36746200000.0,56564340000.0,8767840000.0,2210920000.0,218470000.0,31551890000.0
MPHASIS.NS,2023-09-30,3M,INR,8179520000.0,23836200000.0,,,,5386360000.0,,9206520000.0,1885880000.0,10452630000.0,27412120000.0,,,1885880000.0,79103030000.0,3720000.0,57846450000.0,1674220000.0,6596790000.0,8271010000.0,,31253960000.0,1991200000.0,,,,33974960000.0,37105390000.0,,10180860000.0,,85699820000.0,5386360000.0,7532300000.0,7532300000.0,,10180860000.0,41997640000.0,,,2628400000.0,1046770000.0,518780000.0,,188581060.0,6461300000.0,2408230000.0,77217150000.0,3130430000.0,1524370000.0,,10177140000.0,136830000.0,16959490000.0,11207950000.0,1440450000.0,,,,,188581060.0,79103030000.0,41997640000.0,,123080220000.0,79103030000.0,15803310000.0,79103030000.0,43977190000.0,65233770000.0,12723230000.0,3028430000.0,149430000.0,26592490000.0
