symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
ITC.NS,2023-03-31,3M,INR,46589900000.0,29561700000.0,-103411900000.0,130506900000.0,-1975500000.0,155092600000.0,97894500000.0,2672300000.0,12428000000.0,4633500000.0,218736200000.0,50800000.0,4582700000.0,12428000000.0,691552600000.0,29847100000.0,396708900000.0,538600000.0,356200000.0,894800000.0,137394100000.0,1005600000.0,2390700000.0,30290100000.0,7797300000.0,35256400000.0,31537200000.0,353178600000.0,119141300000.0,691943700000.0,3522600000.0,155092600000.0,28295100000.0,2133700000.0,34900000.0,2168600000.0,3375900000.0,2900000.0,197141900000.0,3835300000.0,249766700000.0,656296200000.0,828400000.0,520200000.0,16290000000.0,2589200000.0,13841400000.0,12428017741.0,15617500000.0,42765100000.0,7414500000.0,27459100000.0,2580600000.0,13119500000.0,828400000.0,23900000.0,219919600000.0,13207200000.0,214102700000.0,58120700000.0,1005600000.0,13668200000.0,0.0,76659800000.0,2394300000.0,353402300000.0,12428017741.0,691552600000.0,656296200000.0,858829800000.0,691587500000.0,3063400000.0,695387900000.0,163441900000.0,462120900000.0,26047800000.0,9116200000.0,9610800000.0,259314800000.0
ITC.NS,2023-09-30,3M,INR,46616400000.0,41682300000.0,,,,152148300000.0,,2795300000.0,12470900000.0,6184000000.0,197909600000.0,,,12470900000.0,690992400000.0,31904700000.0,403800900000.0,613200000.0,12500000.0,625700000.0,148011100000.0,849500000.0,,,7797300000.0,34864800000.0,,256604300000.0,148723700000.0,691037700000.0,3462000000.0,152148300000.0,,2182100000.0,32800000.0,2214900000.0,4788900000.0,2590700000.0,,5320700000.0,256604300000.0,656127600000.0,,566100000.0,17466700000.0,,,12470914521.0,15436200000.0,58620400000.0,678521500000.0,27067500000.0,,14373000000.0,1029300000.0,,224699600000.0,49100000.0,191725600000.0,65886800000.0,,,,,,,12470914521.0,690992400000.0,656127600000.0,871370800000.0,691025200000.0,2840600000.0,696313100000.0,175057700000.0,467569900000.0,27046600000.0,19270400000.0,,255789800000.0
