symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
TORNTPOWER.NS,2023-03-31,3M,INR,15226700000.0,22463300000.0,-115820200000.0,612400000.0,-2045000000.0,244000000.0,21145100000.0,453400000.0,4806200000.0,1882300000.0,10885700000.0,0.0,1882300000.0,4806200000.0,110100000000.0,26246900000.0,74527900000.0,60200000.0,15937500000.0,15997700000.0,1785700000.0,69300300000.0,2640600000.0,112100000.0,500000.0,564300000.0,1710700000.0,9274000000.0,24508300000.0,325391100000.0,158900000.0,8202800000.0,215060700000.0,93900000.0,403400000.0,9472900000.0,393200000.0,89023200000.0,89416400000.0,267823500000.0,4766500000.0,103078400000.0,209570900000.0,100826000000.0,13146600000.0,386500000.0,9687900000.0,4720200000.0,480616784.0,1435100000.0,6772400000.0,105293800000.0,7563300000.0,3466300000.0,3610400000.0,13724600000.0,11984100000.0,702700000.0,29078300000.0,9003400000.0,27322900000.0,3470800000.0,0.0,3940200000.0,427000000.0,67021700000.0,480616784.0,110100000000.0,100826000000.0,299101800000.0,199123200000.0,105414100000.0,114866500000.0,184235300000.0,224573900000.0,114935000000.0,1785700000.0,2684100000.0,232000000.0,5227600000.0
TORNTPOWER.NS,2023-09-30,3M,INR,23165800000.0,26851100000.0,,,,1406600000.0,,467800000.0,4806200000.0,3702800000.0,50928500000.0,,,4806200000.0,118519800000.0,19774700000.0,90028700000.0,64600000.0,11511600000.0,11576200000.0,,73315600000.0,2868000000.0,,,,1710700000.0,9082700000.0,,213986400000.0,,9767400000.0,224900800000.0,62200000.0,1406600000.0,,403200000.0,94869400000.0,95272600000.0,,5052700000.0,102678200000.0,213986400000.0,109437100000.0,,419700000.0,10935100000.0,,480616784.0,2481700000.0,6958600000.0,113713600000.0,7372000000.0,,4628700000.0,13968500000.0,,194211700000.0,,47225700000.0,25583000000.0,,,,,,480616784.0,118519800000.0,109437100000.0,319940300000.0,213389200000.0,106848800000.0,123572500000.0,196367800000.0,229911600000.0,123052200000.0,2417200000.0,2868600000.0,,16713100000.0
