symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
NTPC.NS,2023-03-31,3M,INR,138223500000.0,288252200000.0,-985537400000.0,1978900000.0,-5617200000.0,1290400000.0,2080100000.0,205994100000.0,18207900000.0,96966700000.0,4656500000.0,23570600000.0,925500000.0,3731000000.0,96966700000.0,1470231700000.0,891331200000.0,686196700000.0,2167500000.0,319216100000.0,321383600000.0,216000000.0,874854500000.0,82172600000.0,190700000.0,37800000.0,5878000000.0,293869400000.0,4275693600000.0,5250000000.0,-2134900000.0,142403700000.0,3668283500000.0,7367900000.0,132520900000.0,202144100000.0,16040400000.0,1878835700000.0,1894876100000.0,132520900000.0,19178900000.0,2705376500000.0,39304500000.0,2193395300000.0,3290156200000.0,1464353700000.0,142258400000.0,26119500000.0,9378500000.0,126900000000.0,146952000000.0,9696666134.0,111602700000.0,10560200000.0,58516500000.0,5878000000.0,14104800000.0,163339100000.0,26119500000.0,280280500000.0,118219700000.0,121796500000.0,18914100000.0,419559400000.0,78700900000.0,152628000000.0,130433800000.0,28195000000.0,345241100000.0,9696666134.0,1470231700000.0,1464353700000.0,935100000.0,4460214500000.0,3349067400000.0,2216259700000.0,1509536200000.0,2950678300000.0,3774017800000.0,2075823800000.0,864700000.0,5077200000.0,-188657800000.0
NTPC.NS,2023-09-30,3M,INR,131055000000.0,324230400000.0,,,,1200800000.0,15291600000.0,,18207000000.0,96966700000.0,3442800000.0,172796000000.0,,,96966700000.0,1536769500000.0,830139500000.0,731921800000.0,2095800000.0,309267700000.0,311363500000.0,,850026300000.0,82602800000.0,,,5732900000.0,,3321581000000.0,,,125754900000.0,3744077800000.0,15291600000.0,,,16111200000.0,1898040600000.0,1914151800000.0,143518100000.0,19582400000.0,,41716400000.0,2203865500000.0,3321581000000.0,1531036600000.0,121878000000.0,27522400000.0,9169600000.0,141040700000.0,,9696666134.0,104975100000.0,21260800000.0,1439802800000.0,5732900000.0,,167832400000.0,26744800000.0,,2491441500000.0,2693300000.0,169353200000.0,132486300000.0,,,,,,9696666134.0,1536769500000.0,1531036600000.0,271300000.0,4541387400000.0,3434810100000.0,2225515300000.0,1578485900000.0,2962901500000.0,3809465600000.0,2112875200000.0,1431300000.0,1002400000.0,-118104500000.0
