symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
UPL.NS,2023-03-31,3M,INR,176140000000.0,182820000000.0,-70860000000.0,32480000000.0,-10850000000.0,400000000.0,2140000000.0,31450000000.0,9400000000.0,1500000000.0,59670000000.0,61730000000.0,14830000000.0,44840000000.0,1500000000.0,298440000000.0,11970000000.0,420280000000.0,2650000000.0,28550000000.0,31200000000.0,290370000000.0,5030000000.0,0.0,110000000.0,0.0,3920000000.0,97000000000.0,198980000000.0,312640000000.0,193670000000.0,173520000000.0,180000000.0,139850000000.0,528430000000.0,6060000000.0,7340000000.0,2390000000.0,10510000000.0,6750000000.0,201440000000.0,208190000000.0,9730000000.0,2170000000.0,119590000000.0,55850000000.0,170320000000.0,102660000000.0,-14200000000.0,0.0,26610000000.0,24620000000.0,2640000000.0,750607641.0,31200000000.0,47230000000.0,30060000000.0,113660000000.0,10000000.0,16640000000.0,90700000000.0,24050000000.0,2060000000.0,199440000000.0,9380000000.0,0.0,35640000000.0,460000000.0,203410000000.0,750607641.0,298440000000.0,-14200000000.0,1410000000.0,885770000000.0,499880000000.0,239390000000.0,354290000000.0,531480000000.0,465490000000.0,241110000000.0,6550000000.0,6030000000.0,7210000000.0,129910000000.0
UPL.NS,2023-09-30,3M,INR,155300000000.0,182290000000.0,,,,270000000.0,8040000000.0,,10020000000.0,1500000000.0,31000000000.0,37800000000.0,,,1500000000.0,288630000000.0,13140000000.0,438890000000.0,2670000000.0,119010000000.0,121680000000.0,313200000000.0,5130000000.0,,,,,,200980000000.0,313120000000.0,,104400000000.0,,182460000000.0,627970000000.0,8040000000.0,,,,7350000000.0,220330000000.0,227680000000.0,11040000000.0,2170000000.0,,53710000000.0,308340000000.0,104400000000.0,-24490000000.0,,33240000000.0,23460000000.0,,750607641.0,33890000000.0,13560000000.0,287130000000.0,112140000000.0,4100000000.0,,91260000000.0,230000000.0,6800000000.0,159780000000.0,,,,,,750607641.0,288630000000.0,-24490000000.0,1950000000.0,914550000000.0,508960000000.0,349360000000.0,342340000000.0,572210000000.0,475660000000.0,259010000000.0,4480000000.0,,,125690000000.0
