symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PreferredStock,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
NYKAA.NS,2023-03-31,3M,INR,2653890000.0,1635310000.0,-3387110000.0,12141560000.0,-84090000.0,19700000.0,682420000.0,3381310000.0,2852450000.0,413760000.0,2994950000.0,71460000.0,342300000.0,2852450000.0,13780100000.0,159120000.0,19055980000.0,1247630000.0,4600010000.0,5847640000.0,11975090000.0,113860000.0,1373200000.0,9740750000.0,610650000.0,1844060000.0,1719400000.0,8978900000.0,10051400000.0,18383720000.0,19700000.0,381200000.0,2133680000.0,3610000.0,2137290000.0,381200000.0,92650000.0,2803890000.0,141450000.0,4189860000.0,5591790000.0,11936040000.0,1877730000.0,92650000.0,517500000.0,2852446720.0,3237010000.0,421310000.0,169660000.0,1233410000.0,241600000.0,740540000.0,5333470000.0,995410000.0,2581190000.0,3394430000.0,607390000.0,0.0,3305100000.0,0.0,310650000.0,73810000.0,-388880000.0,2852446720.0,13780100000.0,11936040000.0,29499780000.0,13783710000.0,7984930000.0,13921550000.0,15578230000.0,10443800000.0,3603140000.0,0.0,7080890000.0
NYKAA.NS,2023-09-30,3M,INR,2877650000.0,1764150000.0,,,,773870000.0,,3060050000.0,2853730000.0,259630000.0,4176920000.0,,,2853730000.0,13912780000.0,8520000.0,20816180000.0,1293160000.0,6596020000.0,7889180000.0,15387200000.0,87540000.0,,,610650000.0,1874330000.0,,5092100000.0,10937070000.0,20509270000.0,773870000.0,,1766890000.0,470000.0,1767360000.0,,108650000.0,,182600000.0,6336860000.0,5092100000.0,12038450000.0,2258390000.0,,,2853733174.0,3938040000.0,320850000.0,11059050000.0,1263680000.0,191360000.0,,5083580000.0,,3917290000.0,2877650000.0,,,,,,,,2853733174.0,13912780000.0,12038450000.0,31358590000.0,13913250000.0,9656540000.0,14095380000.0,17263210000.0,10542410000.0,1876010000.0,,5428980000.0
