symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
HINDUNILVR.NS,2023-03-31,3M,INR,95740000000.0,30790000000.0,-47520000000.0,403560000000.0,-760000000.0,120000000.0,100000000.0,32340000000.0,11210000000.0,2350000000.0,7140000000.0,81920000000.0,6190000000.0,950000000.0,2350000000.0,503040000000.0,11320000000.0,169980000000.0,3140000000.0,980000000.0,4120000000.0,120280000000.0,3890000000.0,2240000000.0,20000000.0,17470000000.0,174660000000.0,457290000000.0,31550000000.0,128330000000.0,190000000.0,42510000000.0,504020000000.0,120000000.0,690000000.0,4760000000.0,8070000000.0,8070000000.0,690000000.0,13630000000.0,67070000000.0,2180000000.0,80810000000.0,45750000000.0,10000000.0,100000000.0,64210000000.0,4330000000.0,3170000000.0,2349591262.0,7450000000.0,980000000.0,500690000000.0,282630000000.0,1400000000.0,6080000000.0,10360000000.0,12840000000.0,4760000000.0,74780000000.0,108340000000.0,4350000000.0,0.0,19650000000.0,2240000000.0,95440000000.0,2349591262.0,503040000000.0,45750000000.0,3100000000.0,730870000000.0,503040000000.0,12190000000.0,505220000000.0,225650000000.0,560890000000.0,105370000000.0,,11080000000.0,3990000000.0,49700000000.0
HINDUNILVR.NS,2023-09-30,3M,INR,106340000000.0,32070000000.0,,,,120000000.0,7460000000.0,,11760000000.0,2350000000.0,16510000000.0,136580000000.0,,,2350000000.0,503640000000.0,10470000000.0,214050000000.0,3140000000.0,960000000.0,4100000000.0,136940000000.0,3240000000.0,,,,174660000000.0,457180000000.0,,83690000000.0,,35810000000.0,504600000000.0,7460000000.0,,,8620000000.0,8620000000.0,660000000.0,15080000000.0,,2210000000.0,83690000000.0,46460000000.0,,70000000.0,65170000000.0,,,2349591262.0,9100000000.0,8400000000.0,501290000000.0,282520000000.0,,2920000000.0,,73220000000.0,310000000.0,120070000000.0,110260000000.0,,,,,,2349591262.0,503640000000.0,46460000000.0,60000000.0,778430000000.0,503640000000.0,12720000000.0,505850000000.0,272580000000.0,564380000000.0,135640000000.0,3920000000.0,39070000000.0,,77110000000.0
