symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
BRITANNIA.NS,2023-03-31,3M,INR,14488100000.0,3289400000.0,-14622900000.0,2489400000.0,-35600000.0,323600000.0,518200000.0,11430200000.0,168600000.0,240900000.0,1023800000.0,19466700000.0,1023800000.0,240900000.0,35342700000.0,1050000000.0,47462300000.0,25000000.0,14389600000.0,14414600000.0,41344000000.0,5133900000.0,391000000.0,449500000.0,4350300000.0,1281600000.0,1424000000.0,3325000000.0,40394800000.0,9313200000.0,11932600000.0,65250300000.0,406300000.0,10280900000.0,4951600000.0,3755300000.0,143600000.0,15518000000.0,15661600000.0,4951600000.0,256400000.0,24159300000.0,302300000.0,28883800000.0,25771900000.0,33918700000.0,410300000.0,572500000.0,18700000.0,191200000.0,721300000.0,240868296.0,1807400000.0,12200000.0,35101800000.0,142400000.0,485600000.0,3243500000.0,24721900000.0,10003000000.0,18442900000.0,20016600000.0,1212900000.0,1924000000.0,0.0,7563400000.0,523000000.0,32257000000.0,240868296.0,35342700000.0,33918700000.0,93527200000.0,50860700000.0,30076200000.0,35645000000.0,57882200000.0,46064900000.0,16538200000.0,1894000000.0,18900000.0,6118300000.0
BRITANNIA.NS,2023-09-30,3M,INR,16287600000.0,4128100000.0,,,,65200000.0,8525800000.0,,170400000.0,240900000.0,1204400000.0,13735300000.0,,240900000.0,28479900000.0,832100000.0,43044400000.0,25000000.0,19603500000.0,19628500000.0,49710900000.0,5829600000.0,,,,1293700000.0,1417600000.0,,26700700000.0,,16492900000.0,56093400000.0,276100000.0,8525800000.0,,,145400000.0,8010000000.0,8155400000.0,4971100000.0,273100000.0,,258700000.0,26409100000.0,26700700000.0,27062300000.0,,575400000.0,18600000.0,,,240868296.0,1622900000.0,1920000000.0,28239000000.0,123900000.0,545500000.0,,25868600000.0,7000000000.0,12530900000.0,17923500000.0,,,,,,,240868296.0,28479900000.0,27062300000.0,87492800000.0,36489900000.0,27783900000.0,28738600000.0,58754200000.0,44448400000.0,9043300000.0,1635900000.0,,-6666500000.0
