symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,WorkingCapital
BSE.NS,2023-03-31,3M,INR,804000000.0,908900000.0,-2443800000.0,-347400000.0,1093500000.0,1978700000.0,563000000.0,400000.0,270900000.0,138300000.0,12790800000.0,16700000.0,121600000.0,270900000.0,27011500000.0,1300000.0,38571000000.0,197400000.0,23926900000.0,183400000.0,700000.0,17600000.0,300000000.0,374200000.0,986100000.0,1256300000.0,3992800000.0,27011500000.0,7500000.0,6094700000.0,4103800000.0,0.0,106600000.0,400000.0,400000.0,4103800000.0,7576400000.0,2948100000.0,1278400000.0,1549000000.0,26025400000.0,3500000.0,845500000.0,129000000.0,1490900000.0,135462891.0,31200000.0,2006400000.0,26740600000.0,611900000.0,4849300000.0,40600000.0,1600000.0,536800000.0,373800000.0,1081500000.0,12652500000.0,1358400000.0,183400000.0,203900000.0,0.0,22340600000.0,14363100000.0,135462891.0,27011500000.0,26025400000.0,120600000.0,59938100000.0,27011500000.0,400000.0,28289900000.0,31648200000.0,21367100000.0,7721300000.0,197400000.0,3816000000.0,14644100000.0
BSE.NS,2023-09-30,3M,INR,1206600000.0,1443300000.0,,,0.0,10793400000.0,,200000.0,270900000.0,24382300000.0,54663000000.0,,,270900000.0,31005100000.0,2800000.0,57144200000.0,,41679500000.0,148100000.0,,,,374200000.0,875400000.0,,1689500000.0,31005100000.0,7300000.0,10793400000.0,4163900000.0,0.0,,200000.0,200000.0,4163900000.0,7942400000.0,,1241000000.0,1689500000.0,30129700000.0,,410500000.0,,,135462891.0,1037900000.0,4775700000.0,30734200000.0,501200000.0,5116100000.0,85300000.0,4300000.0,,1686700000.0,,30280700000.0,1619000000.0,,,,,,135462891.0,31005100000.0,30129700000.0,,81945600000.0,31005100000.0,200000.0,32246100000.0,49699500000.0,24801400000.0,8020000000.0,412400000.0,,15464700000.0
