symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
IRCTC.NS,2023-03-31,3M,INR,9406882000.0,11429140000.0,-3260217000.0,-1392476000.0,1131000.0,1958782000.0,841622000.0,1600000000.0,4288452000.0,4843963000.0,4288452000.0,1600000000.0,24784041000.0,2496619000.0,43526485000.0,247111000.0,247111000.0,1082904000.0,23913654000.0,275780000.0,4620000.0,46039000.0,27325000.0,12821616000.0,8972987000.0,96095000.0,24784041000.0,265839000.0,1131000.0,0.0,802988000.0,594511000.0,594511000.0,0.0,1054437000.0,2565413000.0,5712770000.0,24756716000.0,8384000.0,1305496000.0,1054437000.0,48806000.0,800000000.0,9486781000.0,5554069000.0,23184041000.0,27325000.0,1000.0,158197000.0,1698048000.0,1149185000.0,1444108000.0,555511000.0,11109550000.0,10110409000.0,0.0,50056000.0,15019095000.0,17234871000.0,800000000.0,24784041000.0,24756716000.0,583675000.0,50887588000.0,24784041000.0,841622000.0,24784041000.0,26103547000.0,7361103000.0,2189893000.0,0.0,19612831000.0
IRCTC.NS,2023-09-30,3M,INR,6817309000.0,13111134000.0,,,2540000.0,,667967000.0,1600000000.0,6816711000.0,22724311000.0,,1600000000.0,28458566000.0,434289000.0,46983903000.0,180106000.0,180106000.0,,24674621000.0,297389000.0,,,18061000.0,,3481064000.0,107364000.0,28458566000.0,263956000.0,2540000.0,,,487861000.0,487861000.0,,1106548000.0,,3481064000.0,28440505000.0,,1331845000.0,,,800000000.0,9556037000.0,11118922000.0,26858566000.0,,3417312000.0,213680000.0,,3046775000.0,,15907600000.0,6817309000.0,,,,,,800000000.0,28458566000.0,28440505000.0,1485057000.0,55498681000.0,28458566000.0,667967000.0,28458566000.0,27040115000.0,8514778000.0,2365494000.0,0.0,22309282000.0
