symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinJointVenturesatCost,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
EICHERMOT.NS,2023-03-31,3M,INR,18104400000.0,3689200000.0,98916800000.0,927100000.0,273500000.0,888100000.0,11114300000.0,273500000.0,149902800000.0,777500000.0,36832300000.0,249200000.0,1327400000.0,1576600000.0,2228300000.0,32345800000.0,1554800000.0,8585300000.0,23035300000.0,12784400000.0,151859800000.0,98916800000.0,22283700000.0,677900000.0,629600000.0,1307500000.0,22283700000.0,1024600000.0,1068900000.0,23035300000.0,141317500000.0,963700000.0,,2913100000.0,273653620.0,3355000000.0,4088500000.0,149629300000.0,8585300000.0,1458300000.0,3363800000.0,22257800000.0,5889400000.0,10226200000.0,18104400000.0,273653620.0,149902800000.0,141317500000.0,191976400000.0,150532400000.0,2884100000.0,149902800000.0,42073600000.0,155144100000.0,9727800000.0,,4486500000.0
EICHERMOT.NS,2023-09-30,3M,INR,22975800000.0,2878600000.0,106815500000.0,1473500000.0,273800000.0,1248900000.0,17523700000.0,273800000.0,159309300000.0,1665200000.0,44507500000.0,382700000.0,1175700000.0,1558400000.0,,38563500000.0,1906100000.0,9357300000.0,23886600000.0,15705000000.0,161997400000.0,106815500000.0,23320400000.0,1090800000.0,1512400000.0,2603200000.0,23320400000.0,1160600000.0,1439200000.0,23886600000.0,149952000000.0,1293300000.0,76800000.0,3732400000.0,273749460.0,3716300000.0,4600400000.0,159035500000.0,9357300000.0,1757200000.0,3804100000.0,22221400000.0,4683900000.0,16274800000.0,26392300000.0,273749460.0,159309300000.0,149952000000.0,210617800000.0,160821700000.0,4161600000.0,159309300000.0,51308500000.0,166110300000.0,12745000000.0,3416500000.0,5944000000.0
