symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PreferredSecuritiesOutsideStockEquity,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
VEDL.NS,2023-03-31,3M,INR,247440000000.0,40140000000.0,-2165180000000.0,190090000000.0,-230000000.0,40180000000.0,158930000000.0,4460000000.0,3720000000.0,69260000000.0,262550000000.0,8480000000.0,60780000000.0,3720000000.0,394230000000.0,503620000000.0,605070000000.0,3020000000.0,226880000000.0,229900000000.0,180000000.0,880260000000.0,3810000000.0,610000000.0,83680000000.0,2790000000.0,28670000000.0,5910000000.0,40370000000.0,3312000000000.0,2140000000.0,150120000000.0,1055770000000.0,42970000000.0,22380000000.0,1440000000.0,434660000000.0,436100000000.0,10000000.0,34260000000.0,1063840000000.0,100040000000.0,592280000000.0,1146820000000.0,388320000000.0,43090000000.0,84950000000.0,59320000000.0,0.0,3713193964.0,28150000000.0,164250000000.0,390510000000.0,5910000000.0,5140000000.0,36060000000.0,3240000000.0,38420000000.0,1223370000000.0,37600000000.0,193290000000.0,385550000000.0,320000000.0,0.0,36780000000.0,339860000000.0,70640000000.0,35030000000.0,-227550000000.0,3717199039.0,394230000000.0,388320000000.0,12560000000.0,1963560000000.0,828890000000.0,666000000000.0,494270000000.0,1469290000000.0,1358490000000.0,589030000000.0,16010000000.0,12410000000.0,4005075.0,50810000000.0,-275190000000.0
VEDL.NS,2023-09-30,3M,INR,257610000000.0,38710000000.0,-1090000000.0,,,30990000000.0,,5910000000.0,3720000000.0,33890000000.0,296550000000.0,,33890000000.0,3720000000.0,315830000000.0,196360000000.0,553030000000.0,2790000000.0,204800000000.0,207590000000.0,,774020000000.0,3920000000.0,90000000.0,,,,44880000000.0,,1144220000000.0,1800000000.0,141170000000.0,1060560000000.0,30990000000.0,,3120000000.0,539930000000.0,543050000000.0,,34800000000.0,,104030000000.0,710840000000.0,1144220000000.0,270950000000.0,,31770000000.0,104910000000.0,,3714287055.0,71540000000.0,112460000000.0,312110000000.0,44880000000.0,7190000000.0,37830000000.0,43100000000.0,,947860000000.0,50000000.0,262660000000.0,279990000000.0,,,,,,,,3717206239.0,315830000000.0,270950000000.0,3210000000.0,1935720000000.0,855760000000.0,750640000000.0,419860000000.0,1515860000000.0,1382690000000.0,741840000000.0,22380000000.0,,2919184.0,,-220990000000.0
