symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
BHARATFORG.NS,2023-03-31,3M,INR,21513400000.0,30874570000.0,-38804450000.0,6930890000.0,-404200000.0,5180200000.0,15769020000.0,4609040000.0,931270000.0,5087130000.0,20842330000.0,160210000.0,4926920000.0,931270000.0,67055260000.0,6963860000.0,90020180000.0,447270000.0,51010610000.0,51457880000.0,624620000.0,82768570000.0,901320000.0,146080000.0,38000000.0,822170000.0,7792200000.0,11843110000.0,2954720000.0,3818930000.0,31278770000.0,103603320000.0,1325530000.0,1628730000.0,31262540000.0,135578590000.0,2890000.0,14601130000.0,586520000.0,0.0,1756520000.0,4161770000.0,17512720000.0,21674490000.0,586520000.0,1411730000.0,74401570000.0,360720000.0,63436200000.0,64798870000.0,63236330000.0,48570000.0,5532810000.0,1495300000.0,2153270000.0,1684850000.0,6578950000.0,465588632.0,1134160000.0,852400000.0,37400000.0,864210000.0,380550000.0,93390000.0,2347850000.0,3005550000.0,4712350000.0,172350000.0,15755200000.0,25043120000.0,1141000000.0,3730660000.0,0.0,9474750000.0,53420000.0,51140410000.0,465588632.0,67055260000.0,63236330000.0,183841870000.0,84567980000.0,73132370000.0,67415980000.0,116425890000.0,93821690000.0,33657320000.0,486170000.0,9564130000.0,7251610000.0
BHARATFORG.NS,2023-09-30,3M,INR,23541850000.0,31926420000.0,,,,13816070000.0,,4286030000.0,931270000.0,7311040000.0,22886880000.0,,,931270000.0,70123710000.0,7157520000.0,96986910000.0,310370000.0,57063030000.0,57373400000.0,,95486620000.0,891070000.0,12480000.0,,1083860000.0,,,2949670000.0,3743300000.0,,65801230000.0,1243940000.0,,33281360000.0,140874700000.0,2890000.0,13816070000.0,617120000.0,0.0,,3975660000.0,13687960000.0,17663620000.0,617120000.0,1511270000.0,,140290000.0,63439950000.0,65801230000.0,66380410000.0,,,1519710000.0,2168700000.0,,,465588632.0,7352300000.0,11402050000.0,69192440000.0,793630000.0,,5862840000.0,2463620000.0,,58643710000.0,296010000.0,15575840000.0,24209110000.0,,,,,,,465588632.0,70123710000.0,66380410000.0,189790900000.0,83811670000.0,75037020000.0,70264000000.0,119526900000.0,92803990000.0,24040280000.0,667260000.0,,1500290000.0
