symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInvestments,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkingCapital
TCS.NS,2023-03-31,3M,INR,105150000000.0,410490000000.0,-221140000000.0,4400000000.0,-5380000000.0,13780000000.0,170990000000.0,76880000000.0,3660000000.0,71150000000.0,471980000000.0,49990000000.0,21160000000.0,3660000000.0,904240000000.0,14110000000.0,1102700000000.0,14850000000.0,14850000000.0,10350000000.0,435580000000.0,3450000000.0,510000000.0,50000000.0,18580000000.0,28210000000.0,415870000000.0,412190000000.0,1910000000.0,280000000.0,904240000000.0,13780000000.0,12940000000.0,62030000000.0,62030000000.0,192770000000.0,7820000000.0,191050000000.0,876030000000.0,1140000000.0,10030000000.0,33070000000.0,7920000000.0,5360000000.0,30530000000.0,3659051373.0,3930000000.0,2300000000.0,900580000000.0,9630000000.0,370000000.0,310000000.0,9610000000.0,21380000000.0,157200000000.0,400830000000.0,240300000000.0,40650000000.0,28380000000.0,0.0,230000000.0,7610000000.0,747220000000.0,3659051373.0,904240000000.0,876030000000.0,10570000000.0,1436510000000.0,904240000000.0,76880000000.0,912060000000.0,524450000000.0,333810000000.0,88870000000.0,134640000000.0,1200000000.0,,667120000000.0
TCS.NS,2023-06-30,3M,INR,105560000000.0,414730000000.0,-227270000000.0,4400000000.0,-5450000000.0,9240000000.0,171530000000.0,76990000000.0,3660000000.0,156140000000.0,563620000000.0,132710000000.0,23430000000.0,3660000000.0,928420000000.0,15520000000.0,1209910000000.0,14710000000.0,14710000000.0,12760000000.0,518250000000.0,3430000000.0,79340000000.0,10000000.0,18530000000.0,27070000000.0,420180000000.0,415890000000.0,1730000000.0,320000000.0,928420000000.0,9240000000.0,12920000000.0,62280000000.0,62280000000.0,194550000000.0,7270000000.0,188620000000.0,901350000000.0,960000000.0,5360000000.0,33530000000.0,8740000000.0,6040000000.0,33470000000.0,3659051373.0,3790000000.0,2790000000.0,,8540000000.0,370000000.0,420000000.0,10430000000.0,21370000000.0,161950000000.0,407480000000.0,345080000000.0,43150000000.0,14070000000.0,0.0,310000000.0,19000000000.0,758290000000.0,3659051373.0,928420000000.0,901350000000.0,17940000000.0,1539790000000.0,928420000000.0,76990000000.0,935690000000.0,604100000000.0,329880000000.0,85850000000.0,160180000000.0,3350000000.0,,691660000000.0
TCS.NS,2023-09-30,3M,INR,105320000000.0,422960000000.0,-233080000000.0,4400000000.0,-5630000000.0,23400000000.0,172370000000.0,77640000000.0,3660000000.0,75360000000.0,550170000000.0,52140000000.0,23220000000.0,3660000000.0,1006810000000.0,14870000000.0,1215090000000.0,15110000000.0,15110000000.0,13540000000.0,449040000000.0,3440000000.0,520000000.0,0.0,18180000000.0,25470000000.0,428590000000.0,418170000000.0,2660000000.0,280000000.0,1006810000000.0,23400000000.0,12890000000.0,62530000000.0,62530000000.0,196740000000.0,7310000000.0,185090000000.0,981340000000.0,1810000000.0,4560000000.0,34540000000.0,9390000000.0,6380000000.0,34630000000.0,3659051373.0,4090000000.0,3300000000.0,1003150000000.0,7290000000.0,360000000.0,2100000000.0,11690000000.0,21300000000.0,162590000000.0,474810000000.0,252410000000.0,43880000000.0,22790000000.0,0.0,280000000.0,21770000000.0,826610000000.0,3659051373.0,1006810000000.0,981340000000.0,14240000000.0,1549400000000.0,1006810000000.0,77640000000.0,1014120000000.0,535280000000.0,334310000000.0,86240000000.0,146570000000.0,1040000000.0,0.0,766050000000.0
