symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossPPE,InventoriesAdjustmentsAllowances,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
BEL.NS,2023-03-31,3M,INR,34933400000.0,70334800000.0,-24306700000.0,186800000.0,1600000.0,9926500000.0,613400000.0,7309800000.0,39456900000.0,82952700000.0,31039500000.0,8417400000.0,7309800000.0,138616300000.0,3852900000.0,300477400000.0,19200000.0,0.0,19200000.0,0.0,205657800000.0,6275400000.0,24600000.0,4491000000.0,3823200000.0,7622000000.0,55090300000.0,-17100000.0,64480400000.0,138616300000.0,600000.0,4492600000.0,2007300000.0,3541600000.0,594200000.0,0.0,594200000.0,2007300000.0,8446500000.0,23448200000.0,177500000.0,30783600000.0,130994300000.0,1339500000.0,5037200000.0,28900000.0,214100000.0,7309778829.0,306200000.0,3293600000.0,131306500000.0,7622000000.0,146700000.0,58700000.0,7164300000.0,14321100000.0,63307400000.0,43495800000.0,42122300000.0,18898600000.0,0.0,40898900000.0,197300000.0,93517900000.0,7309778829.0,138616300000.0,130994300000.0,4031400000.0,354911700000.0,138616300000.0,613400000.0,138793800000.0,216117900000.0,54434300000.0,10460100000.0,3700000.0,19628700000.0,94819600000.0
BEL.NS,2023-09-30,3M,INR,28943600000.0,73359100000.0,,,4775100000.0,,613800000.0,7309800000.0,14425200000.0,85416800000.0,,,7309800000.0,148161900000.0,4334800000.0,307209400000.0,21300000.0,0.0,21300000.0,0.0,203583000000.0,4081500000.0,,,,7622100000.0,30981400000.0,,67323400000.0,148161900000.0,600000.0,4775100000.0,1860100000.0,,592500000.0,0.0,592500000.0,1860100000.0,8672900000.0,,176900000.0,30981400000.0,140539800000.0,1320300000.0,5669500000.0,31300000.0,,7309778829.0,76058500000.0,154163000000.0,140852100000.0,7622100000.0,,4482200000.0,,26646600000.0,15700000.0,70991600000.0,28943600000.0,,,,,,7309778829.0,148161900000.0,140539800000.0,5035900000.0,362669100000.0,148161900000.0,613800000.0,148338800000.0,214330300000.0,55459700000.0,10747300000.0,,,103626400000.0
