symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkInProcess,WorkingCapital
DALBHARAT.NS,2023-03-31,3M,INR,11350000000.0,7000000000.0,-56430000000.0,73460000000.0,-320000000.0,8900000000.0,5270000000.0,15780000000.0,1130000000.0,370000000.0,2340000000.0,32490000000.0,1490000000.0,850000000.0,370000000.0,156280000000.0,18590000000.0,73490000000.0,240000000.0,5320000000.0,5560000000.0,44600000000.0,840000000.0,50000000.0,0.0,1170000000.0,7310000000.0,31850000000.0,7320000000.0,191120000000.0,0.0,590000000.0,13160000000.0,192740000000.0,10000000.0,5860000000.0,20000000.0,16590000000.0,890000000.0,31140000000.0,32030000000.0,20000000.0,2360000000.0,136930000000.0,1160000000.0,34120000000.0,134690000000.0,124430000000.0,1400000000.0,240000000.0,16340000000.0,6460000000.0,187480361.0,5570000000.0,5000000000.0,120000000.0,24540000000.0,7130000000.0,10000000.0,1240000000.0,9440000000.0,1870000000.0,6050000000.0,30150000000.0,23550000000.0,5840000000.0,1360000000.0,3500000000.0,50000000.0,56930000000.0,187480361.0,156280000000.0,124430000000.0,,255430000000.0,187420000000.0,37590000000.0,157440000000.0,97990000000.0,181930000000.0,53390000000.0,2710000000.0,1360000000.0,28890000000.0
DALBHARAT.NS,2023-09-30,3M,INR,10090000000.0,7560000000.0,,,,320000000.0,9990000000.0,,1260000000.0,380000000.0,3370000000.0,52940000000.0,,,380000000.0,160110000000.0,18520000000.0,79560000000.0,370000000.0,8010000000.0,8380000000.0,45540000000.0,870000000.0,,,,6280000000.0,30920000000.0,,141140000000.0,,,12700000000.0,212840000000.0,10000000.0,9990000000.0,,,890000000.0,44720000000.0,45610000000.0,20000000.0,2470000000.0,,1020000000.0,49360000000.0,141140000000.0,129190000000.0,1360000000.0,320000000.0,16530000000.0,,187530361.0,5830000000.0,7510000000.0,159730000000.0,24640000000.0,,9460000000.0,,,122620000000.0,90000000.0,49570000000.0,13360000000.0,,,,,,187530361.0,160110000000.0,129190000000.0,120000000.0,272640000000.0,204830000000.0,53990000000.0,161130000000.0,111510000000.0,193080000000.0,65970000000.0,3270000000.0,,34020000000.0
