symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DividendsPayable,FinishedGoods,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsInOtherVenturesUnderEquityMethod,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,TreasurySharesNumber,WorkInProcess,WorkingCapital
TATACONSUM.NS,2023-03-31,3M,INR,23481800000.0,7983300000.0,-16800500000.0,70010300000.0,-396900000.0,1675100000.0,7278300000.0,4172200000.0,929000000.0,15395600000.0,35773600000.0,7976100000.0,7419500000.0,929000000.0,162767100000.0,2861000000.0,83085800000.0,550100000.0,9767000000.0,10317100000.0,39246800000.0,774000000.0,1027400000.0,147000000.0,11992400000.0,218600000.0,80253800000.0,108753400000.0,8380200000.0,39548700000.0,347200000.0,0.0,27016700000.0,174595300000.0,2147800000.0,1675100000.0,2926600000.0,2180600000.0,1724000000.0,3622100000.0,2061200000.0,5683300000.0,5107200000.0,1674900000.0,27149600000.0,8501700000.0,22748200000.0,54013700000.0,486400000.0,8630400000.0,1674900000.0,462100000.0,929011650.0,5134900000.0,1219900000.0,45000000.0,28499600000.0,256000000.0,2084600000.0,535800000.0,6402600000.0,20378000000.0,26372600000.0,1981600000.0,0.0,14516900000.0,147000000.0,73723000000.0,929011650.0,162767100000.0,54013700000.0,3421600000.0,228111300000.0,164828300000.0,16000400000.0,171268800000.0,56842500000.0,145025500000.0,17595700000.0,659200000.0,913800000.0,,507400000.0,43839000000.0
TATACONSUM.NS,2023-09-30,3M,INR,19122500000.0,8517300000.0,,,,4433500000.0,,4363700000.0,929000000.0,13849700000.0,32151900000.0,,,929000000.0,161543100000.0,2157700000.0,77468700000.0,626400000.0,8973200000.0,9599600000.0,33602500000.0,783900000.0,,,,,80509700000.0,108516300000.0,,23421400000.0,,,26212900000.0,172293900000.0,2147800000.0,4433500000.0,,,,3737300000.0,1777600000.0,5514900000.0,2797800000.0,1788400000.0,,8759900000.0,23421400000.0,53026800000.0,417500000.0,8868800000.0,,,929011650.0,5131800000.0,1328100000.0,160614100000.0,28006600000.0,1606600000.0,,21263700000.0,5133500000.0,18302200000.0,19934000000.0,,,,,,929011650.0,161543100000.0,53026800000.0,321300000.0,221912800000.0,163320700000.0,15114500000.0,170303000000.0,51609800000.0,144444100000.0,18007300000.0,811500000.0,,0.0,,43866200000.0
