symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
OIL.NS,2023-03-31,3M,INR,18354300000.0,24003400000.0,-156250900000.0,954100000.0,-484000000.0,10900000.0,56741300000.0,19465300000.0,2828700000.0,10844100000.0,3406400000.0,38508900000.0,2201000000.0,1205400000.0,10844100000.0,384814900000.0,126508600000.0,142948100000.0,1393400000.0,3030200000.0,4423600000.0,177900000.0,85982600000.0,4257500000.0,81100000.0,56741300000.0,27682500000.0,2323200000.0,24487400000.0,460806800000.0,10819300000.0,51133300000.0,570303700000.0,610100000.0,67560600000.0,5306300000.0,1435300000.0,182458600000.0,183893900000.0,207274500000.0,13703600000.0,99861900000.0,33711000000.0,182082400000.0,304555900000.0,382491700000.0,1147000000.0,3313100000.0,33177700000.0,978300000.0,1084405194.0,2500000.0,15453500000.0,373970800000.0,2323200000.0,7915800000.0,32722900000.0,1377900000.0,2477300000.0,35102500000.0,55490500000.0,9161600000.0,20083900000.0,208286800000.0,19013300000.0,486100000.0,129354100000.0,1084405194.0,384814900000.0,382491700000.0,6063900000.0,738830200000.0,567273500000.0,188317500000.0,418525900000.0,320304300000.0,595882100000.0,234321700000.0,4332200000.0,227500000.0,4437500000.0,56965500000.0
OIL.NS,2023-09-30,3M,INR,16046100000.0,30840900000.0,,,,,82355200000.0,,2847600000.0,10844100000.0,11822100000.0,62978100000.0,,,10844100000.0,401446200000.0,159339000000.0,160208700000.0,1621300000.0,51779100000.0,53400400000.0,,147724900000.0,16073100000.0,,,,2240800000.0,,328613600000.0,,54488500000.0,622636900000.0,610200000.0,82355200000.0,,1226300000.0,169411600000.0,170637900000.0,203146900000.0,13935900000.0,,37307600000.0,209368600000.0,343154200000.0,399205400000.0,,,27447700000.0,,1084405194.0,6104800000.0,19705500000.0,390602100000.0,2240800000.0,7037900000.0,,169274600000.0,563900000.0,51156000000.0,20437900000.0,,,,,,,1084405194.0,401446200000.0,399205400000.0,5232500000.0,805221300000.0,570857800000.0,224038300000.0,438753800000.0,366467500000.0,645012600000.0,218742600000.0,4391800000.0,645900000.0,,12483800000.0
