symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,WorkingCapital
DELHIVERY.NS,2023-03-31,3M,INR,7873550000.0,9436370000.0,-9621090000.0,153595890000.0,-3302370000.0,,197900000.0,2944530000.0,7245690000.0,728720000.0,2954520000.0,17771720000.0,650000000.0,2304520000.0,728720000.0,91771370000.0,215280000.0,69388580000.0,1902690000.0,844670000.0,2747360000.0,12810810000.0,274740000.0,0.0,0.0,13620700000.0,15347070000.0,12738740000.0,24454520000.0,3304310000.0,193560000.0,93760110000.0,3502210000.0,2622460000.0,61930000.0,5343000000.0,1144070000.0,6487070000.0,2622460000.0,511050000.0,14565330000.0,14833430000.0,76424300000.0,229020000.0,312550000.0,3654470000.0,728715149.0,1413480000.0,937790000.0,5875330000.0,1726370000.0,270000.0,2366110000.0,6667450000.0,7784830000.0,14817200000.0,10659800000.0,301880000.0,30704680000.0,0.0,193560000.0,2083940000.0,-68463370000.0,728715149.0,91771370000.0,76424300000.0,111892850000.0,92915440000.0,9234430000.0,91771370000.0,20121480000.0,42504270000.0,7310670000.0,420140000.0,0.0,56577770000.0
DELHIVERY.NS,2023-09-30,3M,INR,7948910000.0,13269640000.0,,,,684880000.0,15354430000.0,,7430670000.0,733840000.0,3808980000.0,46306340000.0,,,733840000.0,91114090000.0,1523180000.0,62612800000.0,2051750000.0,907160000.0,2958910000.0,13849770000.0,256000000.0,,,13515940000.0,14836010000.0,,16524390000.0,,203180000.0,92817690000.0,15354430000.0,,,5378920000.0,796440000.0,6175360000.0,,572120000.0,,16524390000.0,76278080000.0,208580000.0,241930000.0,,733837026.0,2099980000.0,1065350000.0,90380250000.0,1320070000.0,290750000.0,,15001210000.0,48780000.0,42497360000.0,7948910000.0,,,,,,,733837026.0,91114090000.0,76278080000.0,111953270000.0,91910530000.0,9134270000.0,91114090000.0,20839180000.0,49340470000.0,6989410000.0,,,48763030000.0
