symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredTaxesLiabilities,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkingCapital
IGL.NS,2023-03-31,3M,INR,9013300000.0,9033500000.0,-16106600000.0,-136300000.0,142500000.0,5145100000.0,827700000.0,1400000000.0,1056100000.0,23308200000.0,434400000.0,621700000.0,1400000000.0,79312400000.0,14337400000.0,42279000000.0,235000000.0,235000000.0,0.0,42315800000.0,5158200000.0,7013600000.0,119600000.0,130000000.0,9169800000.0,87649400000.0,491700000.0,79312400000.0,142500000.0,11028000000.0,1579200000.0,592700000.0,592700000.0,11028000000.0,65835700000.0,71542800000.0,79182400000.0,106900000.0,3167800000.0,279900000.0,927700000.0,700000800.0,13700000.0,227200000.0,77912400000.0,130000000.0,927700000.0,106900000.0,7831500000.0,752000000.0,1372100000.0,22252100000.0,23858400000.0,801600000.0,0.0,372100000.0,7215400000.0,74871900000.0,700000800.0,79312400000.0,79182400000.0,42800000.0,126206000000.0,79312400000.0,827700000.0,79312400000.0,46893600000.0,83927000000.0,4577800000.0,29900000.0,-36800000.0
IGL.NS,2023-09-30,3M,INR,11294300000.0,9657700000.0,,,5144100000.0,,843600000.0,1400000000.0,1393900000.0,30231500000.0,,,1400000000.0,80599900000.0,14877000000.0,40823800000.0,307900000.0,307900000.0,452500000.0,39396700000.0,5646900000.0,,,103300000.0,,75298900000.0,488400000.0,80599900000.0,5144100000.0,,,535700000.0,535700000.0,2586300000.0,,75298900000.0,80496600000.0,,3388000000.0,293900000.0,,700000800.0,446200000.0,2433200000.0,79199900000.0,103300000.0,389800000.0,102700000.0,,60421900000.0,,28837600000.0,11294300000.0,,,,,,700000800.0,80599900000.0,80496600000.0,,124502200000.0,80599900000.0,843600000.0,80599900000.0,43902300000.0,83678400000.0,4505600000.0,29500000.0,1427100000.0
