symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DividendsPayable,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesAssets,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TreasurySharesNumber,WorkInProcess,WorkingCapital
NMDC.NS,2023-03-31,3M,INR,4259100000.0,26560200000.0,-15004000000.0,-19051300000.0,6600000.0,25429500000.0,7222000000.0,66800000.0,2930700000.0,930000000.0,65317100000.0,0.0,930000000.0,2930700000.0,226208300000.0,19915500000.0,158072100000.0,16600000.0,4159800000.0,4176400000.0,42013600000.0,1238600000.0,35500000.0,23982200000.0,938900000.0,8163000000.0,45611500000.0,58806900000.0,26605800000.0,230368100000.0,25429500000.0,6890600000.0,2436000000.0,20000000.0,3791800000.0,50200000.0,0.0,50200000.0,9346600000.0,12559900000.0,16650900000.0,142300000.0,3229800000.0,43802900000.0,218045300000.0,2975000000.0,12559900000.0,22841300000.0,2930605850.0,17795900000.0,23370200000.0,223277600000.0,7224100000.0,11220500000.0,15489400000.0,11226700000.0,10232800000.0,64387100000.0,19784000000.0,1238600000.0,23631700000.0,0.0,2614600000.0,5717900000.0,18619400000.0,2930605850.0,226208300000.0,218045300000.0,11218200000.0,282477100000.0,226208300000.0,4226600000.0,226350600000.0,56126500000.0,124405000000.0,14112900000.0,,9000000.0,116058500000.0
NMDC.NS,2023-09-30,3M,INR,4018800000.0,6706900000.0,,,5900000.0,36246200000.0,,60800000.0,2930700000.0,6904100000.0,142029300000.0,,,2930700000.0,244873000000.0,26000400000.0,193905500000.0,16800000.0,21372700000.0,21389500000.0,66510900000.0,1223400000.0,,,938900000.0,7899200000.0,,49275200000.0,23634600000.0,266245700000.0,36246200000.0,,,,,44000000.0,0.0,44000000.0,,12880100000.0,,144800000.0,14468600000.0,49275200000.0,236973800000.0,2724700000.0,,,2930605850.0,14646000000.0,21588800000.0,241942300000.0,6960300000.0,35171500000.0,,23274800000.0,,135125200000.0,4018800000.0,,,,,,,2930605850.0,244873000000.0,236973800000.0,6882800000.0,325955600000.0,244873000000.0,21433500000.0,245017800000.0,80937800000.0,132050100000.0,14426900000.0,0.0,,127394600000.0
