symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashFinancial,CommonStock,CommonStockEquity,DerivativeProductLiabilities,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,GrossPPE,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherEquityInterest,OtherPayable,Payables,PrepaidAssets,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities
BAJAJHLDNG.NS,2023-03-31,3M,INR,17800000.0,-1404300000.0,4444200000.0,225342700000.0,1112900000.0,258300000.0,257800000.0,1112900000.0,441827800000.0,0.0,2938900000.0,2440100000.0,1739300000.0,237894900000.0,526624200000.0,927900000.0,288729300000.0,73801200000.0,1035800000.0,441827800000.0,111293510.0,440714900000.0,127900000.0,145700000.0,12800000.0,2022900000.0,178712700000.0,111293510.0,441827800000.0,441827800000.0,1957500000.0,531881000000.0,927900000.0,515629000000.0,16252000000.0,176700000.0,9613300000.0
BAJAJHLDNG.NS,2023-09-30,3M,INR,25400000.0,,,304999500000.0,1112900000.0,435300000.0,,1112900000.0,488697400000.0,,,,1722800000.0,304999500000.0,610624100000.0,780400000.0,305624600000.0,91886100000.0,884900000.0,488697400000.0,111293510.0,487584500000.0,,153500000.0,,32900000.0,,111293510.0,488697400000.0,488697400000.0,2062700000.0,615813700000.0,780400000.0,580583500000.0,35230200000.0,128100000.0,
