symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DefinedPensionBenefit,DividendsPayable,FinishedGoods,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsinAssociatesatCost,InvestmentsinJointVenturesatCost,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherInventories,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TradeandOtherPayablesNonCurrent,WorkInProcess,WorkingCapital
CUMMINSIND.NS,2023-03-31,3M,INR,11627300000.0,15971200000.0,-9268000000.0,7000000.0,-77900000.0,11400000.0,122400000.0,8223100000.0,260500000.0,554400000.0,3966900000.0,24361800000.0,2300300000.0,1666600000.0,554400000.0,57582400000.0,412900000.0,50984700000.0,59800000.0,3500400000.0,3560200000.0,18903500000.0,1373200000.0,1900000.0,127900000.0,2287600000.0,378000000.0,16049100000.0,21370600000.0,0.0,9036600000.0,61082800000.0,10190400000.0,122400000.0,2685300000.0,1409900000.0,434500000.0,200700000.0,200700000.0,4095200000.0,1050800000.0,11982900000.0,12102600000.0,57204400000.0,32700000.0,1008300000.0,1420000000.0,277200000.0,623700000.0,1445200000.0,378000000.0,83100000.0,13600000.0,32700000.0,1335400000.0,317200000.0,38100000.0,20394900000.0,13090600000.0,814000000.0,0.0,4599500000.0,127900000.0,45402600000.0,277200000.0,57582400000.0,57204400000.0,79186400000.0,57582400000.0,3760900000.0,57582400000.0,21604000000.0,28201700000.0,2700500000.0,2500000.0,2066400000.0,32081200000.0
CUMMINSIND.NS,2023-09-30,3M,INR,11045000000.0,14817800000.0,,,,21800000.0,408700000.0,,274800000.0,554400000.0,4059000000.0,26937300000.0,,,554400000.0,60798800000.0,489000000.0,53596900000.0,57100000.0,2500000000.0,2557100000.0,18947200000.0,1687900000.0,,,,1379800000.0,,12196500000.0,,10221900000.0,63298800000.0,9986200000.0,408700000.0,,,,217700000.0,217700000.0,4419900000.0,1083300000.0,,12196500000.0,59419000000.0,,995800000.0,,277200000.0,1598100000.0,1627100000.0,1379800000.0,,983000000.0,12900000.0,,11707500000.0,,22878300000.0,11045000000.0,,,,,48557600000.0,277200000.0,60798800000.0,59419000000.0,83122500000.0,60798800000.0,2774800000.0,60798800000.0,22323700000.0,29525000000.0,3376500000.0,,,34649700000.0
