symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
HINDPETRO.NS,2023-03-31,3M,INR,229132300000.0,68323800000.0,504900000.0,9031600000.0,36227200000.0,14189400000.0,5184800000.0,68829600000.0,14189400000.0,322632700000.0,253107400000.0,439760200000.0,3427500000.0,188768300000.0,192195800000.0,738658900000.0,26537600000.0,3049200000.0,13789500000.0,926158700000.0,295750000000.0,993115700000.0,9031600000.0,32799700000.0,481714700000.0,514514400000.0,178097300000.0,1129300000.0,665298200000.0,926158700000.0,308843200000.0,29276300000.0,1418548345.0,4637300000.0,55727600000.0,308443300000.0,10740300000.0,36779700000.0,7180500000.0,673051300000.0,1714600000.0,63644800000.0,229593900000.0,1418548345.0,322632700000.0,308843200000.0,1613395100000.0,804347400000.0,706710200000.0,322632700000.0,1290762400000.0,1173634900000.0,552103500000.0,461600000.0,-298898700000.0
HINDPETRO.NS,2023-09-30,3M,INR,280134100000.0,79476700000.0,207900000.0,10169600000.0,35086000000.0,14189400000.0,3266800000.0,81235000000.0,14189400000.0,450547500000.0,254964900000.0,542280500000.0,3735000000.0,114125900000.0,117860900000.0,786468700000.0,30563400000.0,3049200000.0,14244500000.0,948977600000.0,366567900000.0,995562900000.0,10169600000.0,31351000000.0,430889500000.0,462240500000.0,214481200000.0,1716100000.0,541748600000.0,948977600000.0,436303000000.0,66360000000.0,1418548345.0,13477500000.0,131949100000.0,436358100000.0,11195300000.0,38821900000.0,8135500000.0,694012700000.0,1315500000.0,77968200000.0,281417900000.0,1418548345.0,450547500000.0,436303000000.0,1775471400000.0,881437000000.0,580101400000.0,450547500000.0,1324923900000.0,1233190900000.0,538455200000.0,1283800000.0,-244188200000.0
