symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentDeferredAssets,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FinancialAssetsDesignatedasFairValueThroughProfitorLossTotal,FinishedGoods,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
TECHM.NS,2023-03-31,3M,INR,43846000000.0,128816000000.0,-94094000000.0,14392000000.0,-7748000000.0,851000000.0,52512000000.0,11620000000.0,4400000000.0,40563000000.0,69107000000.0,14432000000.0,26131000000.0,4400000000.0,279245000000.0,836000000.0,244327000000.0,3717000000.0,14494000000.0,18211000000.0,4463000000.0,133210000000.0,6313000000.0,665000000.0,408000000.0,671000000.0,4073000000.0,236000000.0,76657000000.0,109334000000.0,136564000000.0,134524000000.0,2856000000.0,236000000.0,295027000000.0,748000000.0,4924000000.0,2062000000.0,7903000000.0,1288000000.0,9191000000.0,1729000000.0,9288000000.0,79114000000.0,4702000000.0,40430000000.0,169911000000.0,5811000000.0,9653000000.0,12965000000.0,3261000000.0,9288000000.0,9512000000.0,974147475.0,39897000000.0,8559000000.0,3841000000.0,32677000000.0,13765000000.0,12304000000.0,989000000.0,39594000000.0,17825000000.0,28544000000.0,60648000000.0,19248000000.0,0.0,1272000000.0,238604000000.0,974147475.0,279245000000.0,169911000000.0,461533000000.0,280533000000.0,27402000000.0,283947000000.0,177586000000.0,217206000000.0,44376000000.0,15405000000.0,111117000000.0
TECHM.NS,2023-09-30,3M,INR,42530000000.0,120578000000.0,,,,7319000000.0,,10632000000.0,4407000000.0,37125000000.0,65669000000.0,,,4407000000.0,264113000000.0,1244000000.0,226941000000.0,3392000000.0,14230000000.0,17622000000.0,,127954000000.0,9087000000.0,,,,,,75808000000.0,105976000000.0,,38376000000.0,,290000000.0,279622000000.0,731000000.0,7319000000.0,,7240000000.0,1279000000.0,8519000000.0,1546000000.0,11074000000.0,,4462000000.0,38376000000.0,158137000000.0,,,14966000000.0,3003000000.0,,,975504105.0,40404000000.0,19225000000.0,259706000000.0,30168000000.0,8755000000.0,12617000000.0,,37132000000.0,,28544000000.0,58461000000.0,,,,,975504105.0,264113000000.0,158137000000.0,434907000000.0,265392000000.0,26141000000.0,268575000000.0,166332000000.0,207966000000.0,38378000000.0,15931000000.0,98987000000.0
