symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,DerivativeProductLiabilities,DividendsPayable,FinancialAssets,FixedAssetsRevaluationReserve,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinSubsidiariesatCost,LandAndImprovements,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MachineryFurnitureEquipment,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherEquityInterest,OtherIntangibleAssets,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TaxesReceivable,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable,TradingSecurities,TreasurySharesNumber
HDFCLIFE.NS,2023-03-31,3M,INR,15602169000.0,9879453000.0,-3863361000.0,37164060000.0,452148435000.0,3320174000.0,21493961000.0,19039021000.0,31966402000.0,21493961000.0,129931414000.0,307905000.0,0.0,2697000.0,0.0,0.0,0.0,579773000.0,7107389000.0,139431414000.0,6456098000.0,1504591705000.0,1517519086000.0,0.0,0.0,9500000000.0,9500000000.0,0.0,1282000000.0,3169545000.0,3244028000.0,129351641000.0,255845000.0,1026247000.0,2148856298.0,31543000.0,579773000.0,10247704000.0,309765000.0,23727491000.0,12927381000.0,27820119000.0,11468295000.0,70751595000.0,2149396132.0,129931414000.0,129351641000.0,352681000.0,2478719874000.0,139431414000.0,9500000000.0,129931414000.0,2348788460000.0,1967549000.0,0.0,539834.0
HDFCLIFE.NS,2023-12-31,3M,INR,,,,,1861202500000.0,,21506600000.0,10855500000.0,10855500000.0,21506600000.0,141808800000.0,,,,,,,,,151308800000.0,,1861202500000.0,1861202500000.0,,,9500000000.0,9500000000.0,,1210700000.0,,4060400000.0,141808800000.0,,,2150119782.0,69400000.0,,,,,,,50691300000.0,0.0,2150659616.0,141808800000.0,141808800000.0,,2883461000000.0,151308800000.0,9500000000.0,141808800000.0,2741652200000.0,,,539834.0
