symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccumulatedDepreciation,AdditionalPaidInCapital,AvailableForSaleSecurities,CapitalStock,CashAndCashEquivalents,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,DividendsPayable,FixedAssetsRevaluationReserve,GrossPPE,InvestedCapital,InvestmentinFinancialAssets,InvestmentsAndAdvances,InvestmentsinAssociatesatCost,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,OrdinarySharesNumber,OtherPayable,OtherProperties,Payables,PrepaidAssets,Properties,Receivables,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalTaxPayable
IDBI.NS,2023-03-31,3M,INR,5067355000.0,-28732640000.0,53235207000.0,69920211000.0,107524022000.0,383512898000.0,610934000.0,24887554000.0,107524022000.0,463192440000.0,4773952000.0,0.0,82009755000.0,126536686000.0,589059208000.0,997943574000.0,1004201909000.0,6258335000.0,125866768000.0,6258335000.0,1384833000.0,,97804046000.0,463192440000.0,10752402175.0,1235672000.0,32025082000.0,8133286000.0,25563075000.0,89737652000.0,93747291000.0,45779221000.0,10752402175.0,463192440000.0,463192440000.0,3314977070000.0,589059208000.0,125866768000.0,464577273000.0,2850399797000.0,1830259000.0
IDBI.NS,2023-06-30,3M,INR,,,,,107524000000.0,244329600000.0,,147129200000.0,107524000000.0,475614500000.0,,,,,748372900000.0,1087264100000.0,1087264100000.0,,272758400000.0,,1435000000.0,28428800000.0,97146800000.0,475614500000.0,10752402175.0,,,,,,,,10752402175.0,475614500000.0,475614500000.0,3369842600000.0,748372900000.0,272758400000.0,477049500000.0,2892793100000.0,
IDBI.NS,2023-09-30,3M,INR,,,,,107524000000.0,176127600000.0,,139031500000.0,107524000000.0,479037000000.0,,,,,685545500000.0,1128407200000.0,1128407200000.0,,206508500000.0,,1397300000.0,30380900000.0,96469200000.0,479037000000.0,10752402175.0,,,,,,,,10752402175.0,479037000000.0,479037000000.0,3352496000000.0,685545500000.0,206508500000.0,480434300000.0,2872061700000.0,
IDBI.NS,2023-12-31,3M,INR,,,,,107524000000.0,214314200000.0,,128266900000.0,107524000000.0,493959500000.0,,,,,724773900000.0,1172341800000.0,1172341800000.0,,230814400000.0,,1457800000.0,16500200000.0,95651200000.0,493959500000.0,10752402175.0,,,,,,,,10752402175.0,493959500000.0,493959500000.0,3484357000000.0,724773900000.0,230814400000.0,495417300000.0,2988939700000.0,
