symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,Goodwill,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPensionAndOtherPostretirementBenefitPlans,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PensionandOtherPostRetirementBenefitPlansCurrent,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,WorkingCapital
MOTHERSON.NS,2023-03-31,3M,INR,141362900000.0,85134900000.0,2965700000.0,16266300000.0,6776400000.0,45380600000.0,87229000000.0,6776400000.0,224515400000.0,14222000000.0,267792400000.0,4210400000.0,55473300000.0,59683700000.0,275154400000.0,4704200000.0,37726200000.0,51406500000.0,189847900000.0,78227700000.0,346172100000.0,4993300000.0,2965700000.0,12055900000.0,66183400000.0,78239300000.0,61058700000.0,766400000.0,19253700000.0,76276100000.0,189847900000.0,173108900000.0,2274700000.0,13644500000.0,5216800000.0,5156100000.0,6776421366.0,16911500000.0,20276500000.0,13680300000.0,12265400000.0,2019600000.0,175625900000.0,289300000.0,41848400000.0,144826100000.0,2572700000.0,6776421366.0,224515400000.0,173108900000.0,618517200000.0,290698800000.0,137923000000.0,243769100000.0,374748100000.0,350724800000.0,99593700000.0,3463200000.0,-7362000000.0
MOTHERSON.NS,2023-09-30,3M,INR,206737200000.0,149213500000.0,4032100000.0,25219800000.0,6776400000.0,55210700000.0,104419800000.0,6776400000.0,225355300000.0,22772600000.0,372456100000.0,6366500000.0,89382300000.0,95748800000.0,391691400000.0,6172400000.0,57418600000.0,80317200000.0,211501000000.0,87854200000.0,417635600000.0,5532300000.0,4032100000.0,18853300000.0,102898000000.0,121751300000.0,60944600000.0,1950200000.0,18981400000.0,137069600000.0,211501000000.0,145038100000.0,2012400000.0,16112100000.0,6932500000.0,5977700000.0,6776421366.0,30684900000.0,31820300000.0,22898600000.0,15342400000.0,2039300000.0,188728400000.0,283700000.0,49209100000.0,210063200000.0,2985600000.0,6776421366.0,225355300000.0,145038100000.0,782359400000.0,328253300000.0,217500100000.0,244336700000.0,538022700000.0,409903300000.0,146331300000.0,3326000000.0,-19235300000.0
