symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AssetsHeldForSaleCurrent,AvailableForSaleSecurities,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,GoodwillAndOtherIntangibleAssets,GrossPPE,Inventory,InvestedCapital,InvestmentProperties,InvestmentinFinancialAssets,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermEquityInvestment,LongTermProvisions,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredTaxesLiabilities,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
SAIL.NS,2023-03-31,3M,INR,143417000000.0,53899700000.0,292800000.0,5884800000.0,51116500000.0,41305300000.0,570900000.0,18132500000.0,41305300000.0,547466700000.0,48913600000.0,379946200000.0,3745200000.0,195492000000.0,199237200000.0,493342800000.0,13816800000.0,15210400000.0,769123500000.0,277649000000.0,804084500000.0,10300000.0,5884800000.0,47371300000.0,61125800000.0,108497100000.0,39675000000.0,56166300000.0,100000.0,256046900000.0,769123500000.0,532256300000.0,58212700000.0,4130525289.0,29619300000.0,35338500000.0,506161400000.0,82453200000.0,26802100000.0,720209900000.0,352900000.0,17561600000.0,143448300000.0,4130525289.0,547466700000.0,532256300000.0,1304810900000.0,608592500000.0,307734300000.0,547466800000.0,757344100000.0,924864700000.0,264001300000.0,31300000.0,33100000.0,-113396600000.0
SAIL.NS,2023-09-30,3M,INR,109104100000.0,67099100000.0,183100000.0,6969000000.0,52239900000.0,41305300000.0,994900000.0,22410100000.0,41305300000.0,560198100000.0,55389200000.0,372222600000.0,4430000000.0,172504800000.0,176934800000.0,449291400000.0,17089100000.0,15035200000.0,763509000000.0,248990700000.0,815102400000.0,10100000.0,6969000000.0,47809900000.0,82399500000.0,130209400000.0,41229500000.0,56408500000.0,100000.0,253909400000.0,763509000000.0,545162900000.0,58979900000.0,4130525289.0,33226600000.0,41614900000.0,518892800000.0,83454700000.0,26767800000.0,708119800000.0,313000000.0,21415200000.0,110406700000.0,4130525289.0,560198100000.0,545162900000.0,1296080200000.0,642597600000.0,307144200000.0,560198200000.0,735882000000.0,923857600000.0,286590600000.0,1302600000.0,33300000.0,-77068800000.0
