symbol,asOfDate,periodType,currencyCode,AccountsPayable,AccountsReceivable,AccumulatedDepreciation,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AvailableForSaleSecurities,BuildingsAndImprovements,CapitalLeaseObligations,CapitalStock,CashAndCashEquivalents,CashCashEquivalentsAndShortTermInvestments,CashEquivalents,CashFinancial,CommonStock,CommonStockEquity,ConstructionInProgress,CurrentAssets,CurrentCapitalLeaseObligation,CurrentDebt,CurrentDebtAndCapitalLeaseObligation,CurrentLiabilities,CurrentProvisions,DerivativeProductLiabilities,FinancialAssets,Goodwill,GoodwillAndOtherIntangibleAssets,GrossAccountsReceivable,GrossPPE,HedgingAssetsCurrent,HeldToMaturitySecurities,Inventory,InvestedCapital,InvestmentinFinancialAssets,LandAndImprovements,LongTermCapitalLeaseObligation,LongTermDebt,LongTermDebtAndCapitalLeaseObligation,LongTermProvisions,MachineryFurnitureEquipment,MinorityInterest,NetDebt,NetPPE,NetTangibleAssets,NonCurrentDeferredAssets,NonCurrentDeferredRevenue,NonCurrentDeferredTaxesAssets,NonCurrentDeferredTaxesLiabilities,NonCurrentPrepaidAssets,OrdinarySharesNumber,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquityInterest,OtherIntangibleAssets,OtherNonCurrentAssets,OtherNonCurrentLiabilities,OtherPayable,OtherProperties,OtherReceivables,OtherShortTermInvestments,Payables,PrepaidAssets,Properties,RawMaterials,RestrictedCash,RetainedEarnings,ShareIssued,StockholdersEquity,TangibleBookValue,TotalAssets,TotalCapitalization,TotalDebt,TotalEquityGrossMinorityInterest,TotalLiabilitiesNetMinorityInterest,TotalNonCurrentAssets,TotalNonCurrentLiabilitiesNetMinorityInterest,TotalTaxPayable,TradeandOtherPayablesNonCurrent,WorkingCapital
ADANIENSOL.NS,2023-03-31,3M,INR,18004300000.0,14375900000.0,-80256800000.0,62708500000.0,-244500000.0,10284500000.0,12970000000.0,711900000.0,11154900000.0,1906400000.0,19896100000.0,235300000.0,1671100000.0,11154900000.0,116624400000.0,62004400000.0,69430300000.0,195000000.0,28684500000.0,28879500000.0,70172900000.0,1192900000.0,44000000.0,8996500000.0,5982900000.0,16976400000.0,14620400000.0,451736200000.0,272100000.0,3128900000.0,1519100000.0,458612800000.0,13413400000.0,35224500000.0,516900000.0,313303900000.0,313820800000.0,5277300000.0,271804900000.0,10975500000.0,340082000000.0,371479400000.0,99648000000.0,9462600000.0,3333000000.0,,15401000000.0,9125600000.0,1115492683.0,2090100000.0,2467300000.0,105469500000.0,10993500000.0,19638300000.0,3329600000.0,12000100000.0,69732400000.0,22806700000.0,17989700000.0,30084500000.0,2223400000.0,0.0,1519100000.0,8337000000.0,31493800000.0,1115492683.0,116624400000.0,99648000000.0,539317500000.0,429928300000.0,342700300000.0,127599900000.0,411717600000.0,469887200000.0,341544700000.0,80100000.0,3668600000.0,-742600000.0
ADANIENSOL.NS,2023-09-30,3M,INR,16599200000.0,15139200000.0,,,,42293300000.0,,677800000.0,11154900000.0,5070000000.0,50499400000.0,,,11154900000.0,118975400000.0,41340400000.0,74306600000.0,149600000.0,23861200000.0,24010800000.0,62310500000.0,800000000.0,,,5982900000.0,16900700000.0,,388658500000.0,,,1893500000.0,478605700000.0,42293300000.0,,528200000.0,335769100000.0,336297300000.0,5979500000.0,,10189700000.0,354560300000.0,388658500000.0,102074700000.0,,,408600000.0,14549800000.0,,1115492683.0,2005700000.0,4415200000.0,107820500000.0,10917800000.0,33819300000.0,4002900000.0,,347318100000.0,4768800000.0,45429400000.0,17048500000.0,,,,,,1115492683.0,118975400000.0,102074700000.0,557299600000.0,454744500000.0,360308100000.0,129165100000.0,428134500000.0,482993000000.0,365824000000.0,449300000.0,342600000.0,11996100000.0
